Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
CC(C)C1=C[C@]2(O)CC[C@H]3C(C)(C)CCC[C@]3(C)C2=CC1=O,25.0,%,Inhibition,'<',,CHEMBL243549,302.46,4.44,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
O=C1OC[C@H](Cc2ccc3c(c2)OCO3)/C1=C\c1ccc2c(c1)OCO2,,%,Inhibition,,,CHEMBL395263,352.34,2.94,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
O=C1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,50.0,%,Inhibition,'=',,CHEMBL242011,354.36,2.72,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,,Activity,,,CHEMBL269277,456.71,7.09,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(=O)Oc1cc2c(cc1C(C)C)C=C[C@H]1C(C)(C)[C@@H](OC(C)=O)CC[C@]21C,,,Activity,,,CHEMBL242436,384.52,5.39,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)[C@@H]1NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC1=O,25.0,%,Inhibition,'=',,CHEMBL223643,1111.34,,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C[C@@H]1CC[C@H]2[C@@](C)(CO)[C@H]3C[C@@]12CC[C@@]3(C)O,50.0,%,Inhibition,'=',,CHEMBL396521,238.37,2.58,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
COc1ccc(CNC(=O)C2CCN([C@H](C)c3cccc4ccccc34)CC2)cc1,10200.0,nM,EC50,'=',4.99,CHEMBL1172891,402.54,4.94,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
COc1cccc(CNC(=O)C2CCN([C@@H](C)c3ccc4ccccc4c3)CC2)c1,25000.0,nM,EC50,'>',,CHEMBL1173480,402.54,4.94,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C[C@H](c1cccc2ccccc12)N1CCC(C(=O)NCc2ccc3c(c2)OCO3)CC1,9100.0,nM,EC50,'=',5.04,CHEMBL1173044,416.52,4.66,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C[C@H](c1cccc2ccccc12)N1CCC(C(=O)NCc2ccc(F)cc2)CC1,11600.0,nM,EC50,'=',4.94,CHEMBL3233814,390.5,5.07,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,25.0,%,Inhibition,'<',,CHEMBL52606,410.51,1.52,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2=O,25.0,%,Inhibition,'<',,CHEMBL195296,300.44,5.19,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,25.0,%,Inhibition,'<',,CHEMBL16901,266.34,4.22,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
O=C1OC[C@H](Cc2ccc3c(c2)OCO3)/C1=C\c1ccc2c(c1)OCO2,25.0,%,Inhibition,'<',,CHEMBL395263,352.34,2.94,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C[C@@H]1CC[C@H]2[C@@](C)(CO)[C@H]3C[C@@]12CC[C@@]3(C)O,25.0,%,Inhibition,'=',,CHEMBL396521,238.37,2.58,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,25.0,%,Inhibition,'=',,CHEMBL52606,410.51,1.52,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)C1=C(O)C(=O)C2=C(C=C[C@H]3C(C)(C)CCC[C@]23C)C1=O,25.0,%,Inhibition,'=',,CHEMBL242491,314.43,4.31,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,,,Activity,,,CHEMBL441687,822.94,2.25,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2=O,,%,Inhibition,,,CHEMBL195296,300.44,5.19,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,100.0,nM,EC50,'<',,CHEMBL1448,327.12,3.86,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
O=C1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,10000.0,nM,EC50,'>',,CHEMBL242011,354.36,2.72,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,2.6,,Ratio,'=',,CHEMBL5205032,588.56,2.06,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC(CCC(=O)N(C)C)C(=O)CF,2400.0,nM,EC50,'=',5.62,CHEMBL201212,437.51,2.22,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,100000.0,nM,IC50,'=',4.0,CHEMBL397154,625.76,0.67,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,25.0,%,Inhibition,'<',,CHEMBL269277,456.71,7.09,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC1=C[C@@H]2[C@@H](CC1)[C@](C)(O)CC[C@H]2C(C)C,25.0,%,Inhibition,'<',,CHEMBL486795,222.37,3.78,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
COc1cc(C2c3cc(OC(=O)c4ccccc4)c(OC)cc3C[C@@H](CO)[C@@H]2CO)ccc1OC(=O)c1ccccc1,25.0,%,Inhibition,'<',,CHEMBL242247,568.62,5.05,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC1=C[C@@H]2[C@@H](CC1)[C@](C)(O)CC[C@H]2C(C)C,25.0,%,Inhibition,'=',,CHEMBL486795,222.37,3.78,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C=C1CC[C@@H]2[C@](C)(CCC[C@]2(C)C(=O)O)[C@H]1CCC1=CCOC1=O,25.0,%,Inhibition,'<',,CHEMBL465159,332.44,4.11,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(=O)Oc1cc2c(cc1C(C)C)C=C[C@H]1C(C)(C)[C@@H](OC(C)=O)CC[C@]21C,25.0,%,Inhibition,'=',,CHEMBL242436,384.52,5.39,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
COc1c(C(C)C)cc2c(c1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2=O,25.0,%,Inhibition,'<',,CHEMBL243330,330.47,5.19,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,50.0,%,Inhibition,'=',,CHEMBL1448,327.12,3.86,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,,,Activity,,,CHEMBL180920,266.34,4.22,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,,,Activity,,,CHEMBL16901,266.34,4.22,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CN(C)C(=O)CCC(NC(=O)CNC(=O)OCc1ccccc1)C(=O)CF,100000.0,nM,EC50,'>',,CHEMBL202429,381.4,0.8,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
NC(=O)c1ncn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)n1,21000.0,nM,EC50,'=',4.68,CHEMBL204499,240.22,-2.43,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl,10.0,%,Weight loss,'=',,CHEMBL1713,355.33,4.89,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl,5.0,%,Weight loss,'=',,CHEMBL1713,355.33,4.89,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H](CO)C1(F)F,1.5,,FC,'=',,CHEMBL4544781,301.25,-1.07,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
OCC1CC(n2cnc3c(Cl)ncnc32)C1CO,300000.0,nM,IC50,'>',,CHEMBL388704,268.7,0.64,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
OCC(CCn1cnc2c(Cl)ncnc21)COCc1ccccc1,300000.0,nM,IC50,'>',,CHEMBL244381,346.82,2.7,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CSc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,300000.0,nM,IC50,'>',,CHEMBL388931,298.32,-0.84,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,,,Activity,,,CHEMBL52606,410.51,1.52,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)C1=C(O)C(=O)C2=C(C=C[C@H]3C(C)(C)CCC[C@]23C)C1=O,,,Activity,,,CHEMBL242491,314.43,4.31,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)c1ccc2c(c1)C(=O)C[C@H]1C(C)(C)CCC[C@]21C,,%,Inhibition,,,CHEMBL428568,284.44,5.48,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
