Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
CN1CCN(CC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,8500.0,nM,IC50,'=',5.07,CHEMBL5584026,294.44,1.99,CHEMBL4434621,Ebolavirus,Ebolavirus
CCN1CCN(CC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,1600.0,nM,IC50,'=',5.8,CHEMBL5592994,308.47,2.38,CHEMBL4434621,Ebolavirus,Ebolavirus
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,700.0,nM,IC50,'=',6.16,CHEMBL1655,405.97,6.22,CHEMBL4434621,Ebolavirus,Ebolavirus
CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1OC(=O)CCCN1CCCCC1,3.7,,Ratio IC50,'=',,CHEMBL5590446,307.48,4.01,CHEMBL4434621,Ebolavirus,Ebolavirus
CC1CCN(CCCC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,11.0,,Ratio IC50,'>',,CHEMBL5595960,321.5,4.26,CHEMBL4434621,Ebolavirus,Ebolavirus
C[C@@H]1[C@H]2C[C@@H](C[C@H]1OC(=O)CN1CCN(C)CC1)C2(C)C,7.0,,Ratio IC50,'>',,CHEMBL5592622,294.44,1.85,CHEMBL4434621,Ebolavirus,Ebolavirus
CN1CCN(CCCC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,3100.0,nM,IC50,'=',5.51,CHEMBL5583953,322.49,2.77,CHEMBL4434621,Ebolavirus,Ebolavirus
CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1OC(=O)CCN1CCOCC1,0.02,,Ratio IC50,'=',,CHEMBL5595942,295.42,2.47,CHEMBL4434621,Ebolavirus,Ebolavirus
CC1CCN(CC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,0.9,,Ratio IC50,'=',,CHEMBL5592840,293.45,3.48,CHEMBL4434621,Ebolavirus,Ebolavirus
CN1CCN(CC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,0.08,,Ratio IC50,'=',,CHEMBL5584026,294.44,1.99,CHEMBL4434621,Ebolavirus,Ebolavirus
CC1CCN(CC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,20500.0,nM,IC50,'=',4.69,CHEMBL5592840,293.45,3.48,CHEMBL4434621,Ebolavirus,Ebolavirus
CCN1CCN(CC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,9100.0,nM,IC50,'=',5.04,CHEMBL5592994,308.47,2.38,CHEMBL4434621,Ebolavirus,Ebolavirus
C[C@@H]1[C@H]2C[C@@H](C[C@H]1OC(=O)CCCN1CCOCC1)C2(C)C,21000.0,nM,IC50,'=',4.68,CHEMBL5595696,309.45,2.71,CHEMBL4434621,Ebolavirus,Ebolavirus
CCOP(=O)(Cc1ccc(COc2ccccc2OC2CCN(Cc3ccc4nc(-c5ccccc5)[nH]c4c3)CC2)cc1)OCC,2950.0,nM,EC50,'=',5.53,CHEMBL4781632,639.73,8.62,CHEMBL4434621,Ebolavirus,Ebolavirus
CCOP(=O)(Cc1cccc(COc2ccccc2CC2CCN(Cc3ccc4nc(-c5ccc(OC(F)(F)F)cc5)[nH]c4c3)CC2)c1)OCC,1110.0,nM,EC50,'=',5.96,CHEMBL4752249,721.76,9.93,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,420.0,nM,EC50,'=',6.38,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,65.0,U/L,Activity,'=',,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,1.0,,log10cfu,'=',,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,,,Activity,,,CHEMBL1256768,344.38,3.05,CHEMBL4434621,Ebolavirus,Ebolavirus
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@@]1(C#N)c1ccc2c(N)ncnn12,50000.0,nM,EC50,'=',4.3,CHEMBL3120779,305.29,-1.47,CHEMBL4434621,Ebolavirus,Ebolavirus
CCOC(=O)[C@H](Cc1ccccc1)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,4380.0,nM,EC50,'=',5.36,CHEMBL4084735,622.58,2.12,CHEMBL4434621,Ebolavirus,Ebolavirus
COC(=O)c1ccc(COc2ccc(OC)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,1400.0,nM,IC50,'=',5.85,CHEMBL4208300,603.76,4.43,CHEMBL4434621,Ebolavirus,Ebolavirus
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,7800.0,nM,IC50,'=',5.11,CHEMBL479,370.59,5.89,CHEMBL4434621,Ebolavirus,Ebolavirus
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,566.0,nM,IC50,'=',6.25,CHEMBL1655,405.97,6.22,CHEMBL4434621,Ebolavirus,Ebolavirus
C=C1Cc2cc(C(F)(F)F)ccc2C(=O)NCC(C)(C)/C(=N/OC)CC[C@H](C)OC1=O,,,Activity,,,CHEMBL5568147,440.46,4.29,CHEMBL4434621,Ebolavirus,Ebolavirus
CN[C@@H]1CC[C@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,3000.0,nM,EC50,'=',5.52,CHEMBL4212624,342.7,5.18,CHEMBL4434621,Ebolavirus,Ebolavirus
O=S(=O)(c1ccc(Cl)cc1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,21800.0,nM,EC50,'=',4.66,CHEMBL4215553,406.98,3.92,CHEMBL4434621,Ebolavirus,Ebolavirus
O=S(=O)(c1cccs1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,33200.0,nM,EC50,'=',4.48,CHEMBL4212060,378.56,3.33,CHEMBL4434621,Ebolavirus,Ebolavirus
FC(F)(F)Oc1ccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1,10400.0,nM,EC50,'=',4.98,CHEMBL4215857,406.49,4.98,CHEMBL4434621,Ebolavirus,Ebolavirus
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(O)c(OC)cc21.Cl.Cl,99.0,%,Inhibition,'=',,CHEMBL506504,539.54,4.64,CHEMBL4434621,Ebolavirus,Ebolavirus
