Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
COc1ccc(N2C(=O)c3cc([N+](=O)[O-])ccc3N=C3C2N(C)CCN3C)cc1,,,Activity,,,CHEMBL5086104,395.42,2.5,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
COc1ccc(N2C(=O)c3cc(C#N)cc(-c4ccc(C)nc4)c3N=C3[C@@H]2N(C)CCN3C)cc1F,,,Activity,,,CHEMBL5086133,484.54,3.97,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Nc1nc(F)cc2c1ncn2[C@@H]1C=C(CCO)[C@@H](O)[C@H]1O,,,Activity,,,CHEMBL3604364,294.29,-0.26,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Nc1ncc(F)c2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,,,Activity,,,CHEMBL3604361,280.26,-0.65,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
C=C1CC2OC3[C@H]4C(C[C@@H](C)[C@@H](OC(C)=O)[C@@H]24)[C@@H](C)CO[C@@]3(C)CC[C@H]1O,,,Activity,,,CHEMBL464318,378.51,3.1,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CC(=O)O[C@H]1[C@H]2C3CC(=O)CCC[C@]4(C)OC[C@H](C)C(C[C@H]1C)[C@@H]2C4O3,,,Activity,,,CHEMBL518883,364.48,3.14,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
COc1ccc(N2C(=O)c3cc(C#N)cc(-c4ccc(C)nc4)c3N=C3[C@H]2N(C)CCN3C)cc1F,,,Activity,,,CHEMBL5080706,484.54,3.97,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,,,Activity,,,CHEMBL1643,244.21,-3.01,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN1CCN(C)C2C1=Nc1ccc(F)cc1C(=O)N2c1ccccc1,30000.0,nM,EC50,'>',,CHEMBL5077209,338.39,2.72,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
COc1ccc(N2C(=O)c3cc(C#N)cc(Br)c3N=C3C2N(C)CCN3C)cc1F,4100.0,nM,EC50,'=',5.39,CHEMBL5080705,472.32,3.36,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CC(O)C(CP(=O)(O)O)OCn1ccc(N)nc1=O,320.0,ug ml-1,Dose,'=',,CHEMBL275871,293.22,-1.27,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCOP(=O)(C[C@H](O)[C@H](COCc1ccccc1)OCc1ccccc1)OCC,320.0,ug ml-1,Dose,'=',,CHEMBL279642,422.46,4.42,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN1CCN(C)/C(=N/c2ccc([N+](=O)[O-])cc2C(=O)Nc2ccccc2)C1,630000.0,,FC,'=',,CHEMBL3186763,367.41,2.75,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(Cc2nc3ccc([N+](=O)[O-])cc3c(=O)n2-c2ccccc2F)CC1,,%,Inhibition,,,CHEMBL1399083,411.44,2.57,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(Cc2nc3ccc(S(=O)(=O)O)cc3c(=O)n2-c2ccccc2)CC1,25000.0,nM,EC50,'>',,CHEMBL3344439,428.51,1.77,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(Cc2nc3ccc(-c4ccccn4)cc3c(=O)n2-c2ccccc2)CC1,25000.0,nM,EC50,'>',,CHEMBL3344444,425.54,3.59,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
COc1ccccc1-n1c(CN2CCNCC2)nc2ccc([N+](=O)[O-])cc2c1=O,25000.0,nM,EC50,'>',,CHEMBL3344452,395.42,1.71,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=c1c2cc([N+](=O)[O-])ccc2nc(CN2CCNCC2)n1-c1ccsc1,1400.0,nM,EC50,'=',5.85,CHEMBL3185438,371.42,1.76,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(c2nc3ccc([N+](=O)[O-])cc3c(=O)n2-c2ccccc2)CC1,25000.0,nM,EC50,'>',,CHEMBL3344455,379.42,2.44,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CNCCCN(C)Cc1nc2ccc([N+](=O)[O-])cc2c(=O)n1-c1ccccc1,600.0,nM,EC50,'=',6.22,CHEMBL3185443,381.44,2.34,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(Cc2nc3ccc([N+](=O)[O-])cc3c(=O)n2-c2ccccc2F)CC1,1.8,,FC,'=',,CHEMBL1399083,411.44,2.57,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
