reactants,products,reactionString,ruleName,thermo,reactionType
C=CCC(C)=C1C=CC(=O)O1,C=CCC=C1C=C(C)C(=O)O1,C=CCC(C)=C1C=CC(=O)O1 >> C=CCC=C1C=C(C)C(=O)O1,rule0028_51,No_Thermo,Enzymatic
C=CC1=CC(=O)OC1=CCC.C=CC1=CC(=O)OC1=CCC,C=C(CC)C1=CC(=O)OC1=CCC.C=CC1=CC(=O)OC1=C,C=CC1=CC(=O)OC1=CCC.C=CC1=CC(=O)OC1=CCC >> C=C(CC)C1=CC(=O)OC1=CCC.C=CC1=CC(=O)OC1=C,rule0126_2,No_Thermo,Enzymatic
C=C(O)CCC=C1C=CC(O)O1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,C=CCCC=C1C=CC(O)O1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,C=C(O)CCC=C1C=CC(O)O1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O >> C=CCCC=C1C=CC(O)O1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,rule0005_60,No_Thermo,Enzymatic
C=CCCC(C)=C1C=CC(=O)O1.O=C=O,C=CC(CC(C)=C1C=CC(=O)O1)C(=O)O,C=CCCC(C)=C1C=CC(=O)O1.O=C=O >> C=CC(CC(C)=C1C=CC(=O)O1)C(=O)O,rule0023_17,No_Thermo,Enzymatic
C=CC1=CC(=O)OC1=CCC.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,C=CC1=CC(=O)OC1=CC(C)C.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,C=CC1=CC(=O)OC1=CCC.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> C=CC1=CC(=O)OC1=CC(C)C.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,rule0043_12,No_Thermo,Enzymatic
C=CCC(C)=C1C=CC(=O)O1.C=CCC(C)=C1C=CC(=O)O1,C=CCC=C1C=CC(=O)O1.CC=CCC(C)=C1C=CC(=O)O1,C=CCC(C)=C1C=CC(=O)O1.C=CCC(C)=C1C=CC(=O)O1 >> C=CCC=C1C=CC(=O)O1.CC=CCC(C)=C1C=CC(=O)O1,rule0126_2,No_Thermo,Enzymatic
C=CCCC=C1C=CC(=O)O1.C=CCCC=C1C=CC(=O)O1,C=CCC(C=C)CC=C1C=CC(=O)O1.CC=C1C=CC(=O)O1,C=CCCC=C1C=CC(=O)O1.C=CCCC=C1C=CC(=O)O1 >> C=CCC(C=C)CC=C1C=CC(=O)O1.CC=C1C=CC(=O)O1,rule0126_2,No_Thermo,Enzymatic
C=CCCC=C1OC(=O)C=C1C=C,C=CCC1=C(C=C)C(=CC)OC1=O,C=CCCC=C1OC(=O)C=C1C=C >> C=CCC1=C(C=C)C(=CC)OC1=O,rule0028_51,No_Thermo,Enzymatic
C=CCC(O)C=C1C=CC(O)O1,CC=CC(O)C=C1C=CC(O)O1,C=CCC(O)C=C1C=CC(O)O1 >> CC=CC(O)C=C1C=CC(O)O1,rule0028_50,No_Thermo,Enzymatic
C=CC(O)CC=C1C=CC(O)O1.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,C=C(C)C(O)CC=C1C=CC(O)O1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,C=CC(O)CC=C1C=CC(O)O1.C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O >> C=C(C)C(O)CC=C1C=CC(O)O1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,rule0043_12,No_Thermo,Enzymatic
C=CC1=CC(=CCC)OC1=O.C=CC1=CC(=CCC)OC1=O,C=CC1=CC(=C(CC)CC)OC1=O.C=CC1=CC(=C)OC1=O,C=CC1=CC(=CCC)OC1=O.C=CC1=CC(=CCC)OC1=O >> C=CC1=CC(=C(CC)CC)OC1=O.C=CC1=CC(=C)OC1=O,rule0126_2,No_Thermo,Enzymatic
