starter_idx,starter_smiles,status,time_seconds,error
159,O=C1OC(=CCO)C(=O)[C@H]1O,scaffolded,0.0,
160,O=C1CC(=O)C(=CCO)O1,scaffolded,0.0,
161,CC[C@H]1CC(=CCO)OC1=O,scaffolded,0.0,
162,CC(C)[C@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
163,CO[C@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
164,C=CC[C@@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
165,C[C@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
166,O=C1OC(=CCO)[C@@H](O)[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,scaffolded,0.0,
167,CC(C)[C@@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
168,CO[C@@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
169,C=CC[C@@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
170,O=C1OC(=CCO)[C@H](O)[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,scaffolded,0.0,
171,CC(C)[C@@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
172,O=C1C[C@H](O)C(=CCO)O1,scaffolded,0.0,
173,CO[C@@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
174,CC[C@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
175,O=C1OC(=CCO)C(=O)C1CCCCc1c[nH]c(Cl)c1Cl,scaffolded,0.0,
176,CCCC[C@@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
177,O=C1OC(=CCO)C(=O)[C@H]1CCCCc1c[nH]c(Cl)c1Cl,scaffolded,0.0,
178,CCCCCC[C@H]1CC(=CCO)OC1=O,scaffolded,0.0,
179,O=C1OC(=CCO)C(=O)[C@@H]1O,scaffolded,0.0,
180,CCCC[C@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
181,CC(C)[C@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
182,CO[C@H]1CC(=CCO)OC1=O,scaffolded,0.0,
183,O=C1OC(=CCO)C[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,scaffolded,0.0,
184,CCCCCC[C@@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
185,CC[C@@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
186,C[C@H]1CC(=CCO)OC1=O,scaffolded,0.0,
187,CCCC[C@@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
188,O=C1OC(=CCO)[C@@H](O)[C@H]1O,scaffolded,0.0,
189,CC(C)[C@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
190,COC1=CC(=CCO)OC1=O,scaffolded,0.0,
191,O=C1C[C@@H](O)C(=CCO)O1,scaffolded,0.0,
192,CCCCCC[C@@H]1C(=O)OC(=CCO)[C@@H]1O,scaffolded,0.0,
193,C[C@@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
194,CO[C@@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
195,C[C@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
196,CC[C@@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
197,CCCCCCC1=CC(=CCO)OC1=O,scaffolded,0.0,
198,CCCCCC[C@@H]1C(=O)OC(=CCO)C1=O,scaffolded,0.0,
199,CC[C@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
200,C=CC[C@H]1C(=O)OC(=CCO)[C@H]1O,scaffolded,0.0,
