Canonical_SMILES,starter_mod,firstExtension_module,secondExtension_mod,release_mod,Molecular_Weight,has_OH_at_C5,hydroxyl_positions
CCCCCC[C@H]1C(=O)O[C@@H]1C(O)=C[C@@H]1CCC[C@H]1C(=O)O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=0)",310.39,True,"[1, 4, 5, 8]"
O=C1OC1C(=O)C(O)=C[C@@H]1CCC[C@H]1C(=O)O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", 'loading: False']","TE(cyclic, ring=0)",240.21,True,"[1, 4, 5, 8]"
O=C1CCC(O)=C[C@@H]2CCC[C@H]2C(=O)O1,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Malonyl-CoA'}"", ""KR{'type': 'B'}"", 'DH{}', 'ER{}', 'loading: False']","TE(cyclic, ring=0)",210.23,True,"[4, 5]"
C=CC[C@H]1C(=O)O[C@H]1C(O)=C[C@@H]1CCC[C@H]1C(=O)O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=0)",266.29,True,"[1, 4, 5, 8]"
O=C(O)[C@@H]1CCC[C@H]1C=C(O)[C@@H]1OC(=O)[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=0)",416.3,True,"[1, 4, 5, 8]"
O=C1C=CC(O)=C[C@@H]2CCC[C@H]2C(=O)O1,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Malonyl-CoA'}"", ""KR{'type': 'B'}"", 'DH{}', 'loading: False']","TE(cyclic, ring=0)",208.21,True,"[4, 5]"
CC(C)C1=CC(O)=C[C@@H]2CCC[C@H]2C(=O)OC1=O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'D-isobutmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']","TE(cyclic, ring=0)",250.29,True,"[4, 5]"
O=C(O)[C@@H]1CCC[C@H]1C=C(O)[C@H](O)[C@H]1OC1=O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=0)",242.23,True,"[1, 3, 4, 5, 6, 8]"
C=CC[C@H]1CC(O)=C[C@@H]2CCC[C@H]2C(=O)OC1=O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']","TE(cyclic, ring=0)",250.29,True,"[4, 5]"
CC[C@@H]1C(=O)O[C@H]1C(O)=C[C@@H]1CCC[C@H]1C(=O)O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=0)",254.28,True,"[1, 4, 5, 8]"
CC1=CC(O)=C[C@@H]2CCC[C@H]2C(=O)OC1=O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']","TE(cyclic, ring=0)",222.24,True,"[4, 5]"
CC(C)[C@@H]1C(=O)O[C@H]1C(O)=C[C@@H]1CCC[C@H]1C(=O)O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'isobutmal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=0)",268.31,True,"[1, 4, 5, 8]"
O=C1O[C@H]1[C@H](O)C(O)=C[C@@H]1CCC[C@H]1C(=O)O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=0)",242.23,True,"[1, 3, 4, 5, 6, 8]"
CCC1=CC(O)=C[C@@H]2CCC[C@H]2C(=O)OC1=O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'emal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']","TE(cyclic, ring=0)",236.27,True,"[4, 5]"
CCCCC1=CC(O)=C[C@@H]2CCC[C@H]2C(=O)OC1=O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']","TE(cyclic, ring=0)",264.32,True,"[4, 5]"
