
=== ADMET profile prediction ===
inputFile: BacillusAnthracis_generatedCompounds_wART.csv
SMILES column: Canonical_SMILES
outputCsv: /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/SynThera/BacillusAnthracis/Results_BacillusAnthracis/BacillusAnthracis_generatedCompounds_wART_wADMET.csv
checkpoint: /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/SynThera/BacillusAnthracis/Results_BacillusAnthracis/BacillusAnthracis_generatedCompounds_wART_wADMET_checkpoint.csv

Applying diversity filter...
diversity: processed 261000/642240 | +489 new | total 156296
diversity: processed 262000/642240 | +469 new | total 156765
diversity: processed 263000/642240 | +486 new | total 157251
diversity: processed 264000/642240 | +529 new | total 157780
diversity: processed 265000/642240 | +472 new | total 158252
diversity: processed 266000/642240 | +475 new | total 158727
diversity: processed 267000/642240 | +502 new | total 159229
diversity: processed 268000/642240 | +465 new | total 159694
diversity: processed 269000/642240 | +483 new | total 160177
diversity: processed 270000/642240 | +488 new | total 160665
diversity: processed 271000/642240 | +473 new | total 161138
diversity: processed 272000/642240 | +471 new | total 161609
diversity: processed 273000/642240 | +466 new | total 162075
diversity: processed 274000/642240 | +483 new | total 162558
diversity: processed 275000/642240 | +450 new | total 163008
diversity: processed 276000/642240 | +467 new | total 163475
diversity: processed 277000/642240 | +510 new | total 163985
diversity: processed 278000/642240 | +461 new | total 164446
diversity: processed 279000/642240 | +450 new | total 164896
diversity: processed 280000/642240 | +467 new | total 165363
diversity: processed 281000/642240 | +505 new | total 165868
diversity: processed 282000/642240 | +478 new | total 166346
diversity: processed 283000/642240 | +471 new | total 166817
diversity: processed 284000/642240 | +485 new | total 167302
diversity: processed 285000/642240 | +515 new | total 167817
diversity: processed 286000/642240 | +481 new | total 168298
diversity: processed 287000/642240 | +458 new | total 168756
diversity: processed 288000/642240 | +479 new | total 169235
diversity: processed 289000/642240 | +488 new | total 169723
diversity: processed 290000/642240 | +471 new | total 170194
diversity: processed 291000/642240 | +472 new | total 170666
diversity: processed 292000/642240 | +483 new | total 171149
diversity: processed 293000/642240 | +507 new | total 171656
diversity: processed 294000/642240 | +458 new | total 172114
diversity: processed 295000/642240 | +474 new | total 172588
diversity: processed 296000/642240 | +471 new | total 173059
diversity: processed 297000/642240 | +488 new | total 173547
diversity: processed 298000/642240 | +498 new | total 174045
diversity: processed 299000/642240 | +477 new | total 174522
diversity: processed 300000/642240 | +495 new | total 175017
diversity: processed 301000/642240 | +478 new | total 175495
diversity: processed 302000/642240 | +503 new | total 175998
diversity: processed 303000/642240 | +479 new | total 176477
diversity: processed 304000/642240 | +473 new | total 176950
diversity: processed 305000/642240 | +491 new | total 177441
diversity: processed 306000/642240 | +476 new | total 177917
diversity: processed 307000/642240 | +470 new | total 178387
diversity: processed 308000/642240 | +448 new | total 178835
diversity: processed 309000/642240 | +477 new | total 179312
diversity: processed 310000/642240 | +471 new | total 179783
diversity: processed 311000/642240 | +475 new | total 180258
diversity: processed 312000/642240 | +483 new | total 180741
diversity: processed 313000/642240 | +444 new | total 181185
diversity: processed 314000/642240 | +466 new | total 181651
diversity: processed 315000/642240 | +486 new | total 182137
diversity: processed 316000/642240 | +446 new | total 182583
diversity: processed 317000/642240 | +452 new | total 183035
diversity: processed 318000/642240 | +489 new | total 183524
diversity: processed 319000/642240 | +467 new | total 183991
diversity: processed 320000/642240 | +463 new | total 184454
diversity: processed 321000/642240 | +455 new | total 184909
diversity: processed 322000/642240 | +471 new | total 185380
diversity: processed 323000/642240 | +460 new | total 185840
diversity: processed 324000/642240 | +454 new | total 186294
diversity: processed 325000/642240 | +496 new | total 186790
diversity: processed 326000/642240 | +441 new | total 187231
diversity: processed 327000/642240 | +470 new | total 187701
diversity: processed 328000/642240 | +460 new | total 188161
diversity: processed 329000/642240 | +450 new | total 188611
diversity: processed 330000/642240 | +436 new | total 189047
diversity: processed 331000/642240 | +449 new | total 189496
diversity: processed 332000/642240 | +483 new | total 189979
diversity: processed 333000/642240 | +480 new | total 190459
diversity: processed 334000/642240 | +460 new | total 190919
diversity: processed 335000/642240 | +485 new | total 191404
diversity: processed 336000/642240 | +467 new | total 191871
diversity: processed 337000/642240 | +482 new | total 192353
diversity: processed 338000/642240 | +473 new | total 192826
diversity: processed 339000/642240 | +454 new | total 193280
diversity: processed 340000/642240 | +460 new | total 193740
diversity: processed 341000/642240 | +499 new | total 194239
diversity: processed 342000/642240 | +472 new | total 194711
diversity: processed 343000/642240 | +480 new | total 195191
diversity: processed 344000/642240 | +429 new | total 195620
diversity: processed 345000/642240 | +452 new | total 196072
diversity: processed 346000/642240 | +481 new | total 196553
diversity: processed 347000/642240 | +482 new | total 197035
diversity: processed 348000/642240 | +445 new | total 197480
diversity: processed 349000/642240 | +442 new | total 197922
diversity: processed 350000/642240 | +454 new | total 198376
diversity: processed 351000/642240 | +444 new | total 198820
diversity: processed 352000/642240 | +491 new | total 199311
diversity: processed 353000/642240 | +479 new | total 199790
diversity: processed 354000/642240 | +455 new | total 200245
diversity: processed 355000/642240 | +468 new | total 200713
diversity: processed 356000/642240 | +454 new | total 201167
diversity: processed 357000/642240 | +470 new | total 201637
diversity: processed 358000/642240 | +468 new | total 202105
diversity: processed 359000/642240 | +456 new | total 202561
diversity: processed 360000/642240 | +468 new | total 203029
diversity: processed 361000/642240 | +476 new | total 203505
diversity: processed 362000/642240 | +495 new | total 204000
diversity: processed 363000/642240 | +455 new | total 204455
diversity: processed 364000/642240 | +456 new | total 204911
diversity: processed 365000/642240 | +457 new | total 205368
diversity: processed 366000/642240 | +457 new | total 205825
diversity: processed 367000/642240 | +445 new | total 206270
diversity: processed 368000/642240 | +457 new | total 206727
diversity: processed 369000/642240 | +455 new | total 207182
diversity: processed 370000/642240 | +462 new | total 207644
diversity: processed 371000/642240 | +431 new | total 208075
diversity: processed 372000/642240 | +453 new | total 208528
diversity: processed 373000/642240 | +461 new | total 208989
diversity: processed 374000/642240 | +466 new | total 209455
diversity: processed 375000/642240 | +427 new | total 209882
diversity: processed 376000/642240 | +458 new | total 210340
diversity: processed 377000/642240 | +502 new | total 210842
diversity: processed 378000/642240 | +471 new | total 211313
