,Bacteria,compound_id,Smiles,pPotency
193,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504
194,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075
195,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,5.096910013008056
196,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504
197,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504
198,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075
199,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504
200,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075
201,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504
202,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075
203,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,3.5917600346881504
204,BacillusAnthracis,73054176,Nc1ccc(-c2cnnc(N3CCC(c4cccc(Cl)c4)C3)n2)cc1,4.795880017344075
