SMILES,isStarter,molFormula,molWeight,numHeavyAtoms
Nc1nc2c(ncn2[C@@H]2O[C@]3(OC3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(ncn2[C@@H]2O[C@]3(C(O)O)O[C@H]3[C@H]2O)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(ncn2[C@@H]2O[C@]3(C(O)O)O[C@@H]2[C@@H]3O)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(ncn2[C@@H]2O[C@@H]3C(O)O[C@@]3(O)[C@H]2O)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(ncn2[C@@H]2O[C@H](C(O)O)[C@@]3(O)O[C@@H]23)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(ncn2[C@@]23OC(O)[C@@H](O2)[C@@H](O)[C@H]3O)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(ncn2[C@@]23O[C@H]([C@@H](C(O)O)O2)[C@H]3O)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(ncn2[C@@]23O[C@H](C(O)O)[C@@H](O)[C@H]2O3)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(ncn2[C@@H]2O[C@@H]3C(O)O[C@]2(O)[C@@H]3O)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(ncn2[C@@H]2O[C@H](C(O)O)[C@H]3O[C@]32O)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(nc3n2[C@@H]2O[C@H](C(O)O3)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(nc3n2[C@@H]2O[C@H](C(O)O)[C@@H](O3)[C@H]2O)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(nc3n2[C@@H]2O[C@H](C(O)O)[C@@H](O)[C@H]2O3)c(=O)[nH]1,False,C10H11N5O6,297.0709,21
Nc1nc2c(ncn2[C@@H]2O[C@H](C(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,False,C10H13N5O6,299.0866,21
N#CC(O)(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,False,C11H12N6O6,324.0818,23
NC(=O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,False,C10H12N6O5,296.0869,21
