Starter_Name,Canonical_SMILES
Remdesivir,CCC(C)C(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Guanosine,CC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O
Adenosine,CC(N)OC(C)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
Guanosine,CC(O)Nc1nc2c(ncn2[C@@H]2O[C@H](C=O)[C@H]3O[C@]32O)c(=O)[nH]1
Guanosine,C[C@]1(O)[C@H](O)[C@@H](C=O)O[C@H]1n1cnc2c(=O)[nH]c(NC=O)nc21
Guanosine,O=CNc1nc2c(ncn2[C@@H]2O[C@H](C=O)[C@@H](O)[C@H]2O)c(=O)[nH]1
Adenosine,O=CNc1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H]1O
Guanosine,Cc1nc2c(=O)[nH]c(NC=O)nc2n1[C@@H]1O[C@@](C)(CO)[C@@H](O)[C@H]1O
Guanosine,Nc1nc2c(nc(C(O)O)n2[C@@H]2OC[C@@]3(O)O[C@@H]23)c(=O)[nH]1
Adenosine,CC(=O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@]1(O)C(C)=O
Inosine,CC1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O
Inosine,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O
