PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Fluorescence Polarization (mP)_A,Fluorescence Intensity_A,Fluorescence Polarization (mP)_B,Fluorescence Intensity_B,Normalized % Inhibition_A,Normalized % Inhibition_B,Normalized % Inhibition_Avg,Normalized Fluorescence Intensity_A,Normalized Fluorescence Intensity_B
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"Fluoresence polarization for replicate A, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate A.,"Fluoresence polarization for replicate B, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate B.,"Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate A.","Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate B.","Fluorescence polarization, normalized to plate average FP of positive and negative controls (average of A and B replicates)",Fluorescence intensity normalized to average intensity of all wells on plate.,Fluorescence intensity normalized to average intensity of all wells on plate.
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,RATIO,RATIO
50132,92158923,650858,C1=CC=C(C=C1)NC(=O)CCSC2=NN=C(O2)C3=CC=NC=C3,Inactive,1,,,203.4,2.71468e+07,203.6,2.74081e+07,1.52,1.41,1.47,99.96,100.55
50133,92158924,1089655,C1=CC=C(C=C1)NC2=C(C(=C(S2)C(=O)C3=CC=CS3)N)C#N,Inactive,1,,,203.5,2.76467e+07,206.4,2.77528e+07,1.45,-0.4,0.53,101.8,101.81
50134,92158925,1119847,CC(C)NC1=NC(=NC(=N1)N(C)C)NC(C)C,Inactive,1,,,204.7,2.70398e+07,205.2,2.72229e+07,0.68,0.37,0.53,99.57,99.87
50135,92158926,650472,C1COC2=C(O1)C=CC(=C2)C(=O)CSC3=NN=C(O3)C4=CC=CC=C4,Inactive,1,,,204.1,2.7035e+07,203.9,2.72071e+07,1.07,1.21,1.14,99.55,99.81
50136,92158927,754500,CC1=CC2=C(C=C1)N=C(C(=N2)C(=O)O)C(=O)O,Inactive,0,,,203.9,2.74689e+07,208,2.76136e+07,1.2,-1.44,-0.12,101.15,101.3
50137,92158928,1082585,CCC1=C2C(=CC=C1)C(=CN2CC(=O)NC3CCCC3)C=C(C#N)C#N,Inactive,0,,,210.1,2.68471e+07,208.9,2.67685e+07,-2.81,-2.02,-2.42,98.86,98.2
50138,92158929,1017296,C1OC2=C(O1)C=C(C=C2)CNN3C=NN=C3SCC4=CC=C(C=C4)F,Inactive,0,,,209,2.64609e+07,209.7,2.65097e+07,-2.1,-2.54,-2.32,97.44,97.25
50139,92158930,951755,COC1=CC=C(C=C1)NC(=O)CN2C=C(C3=CC=CC=C32)C#N,Inactive,0,,,208.9,2.70686e+07,209.4,2.73574e+07,-2.04,-2.35,-2.2,99.67,100.36
50140,92158931,1444519,CC(C)N(C(C)C)C(=O)CN1C(=O)C2=C(N=N1)N(N=C2)C3=CC=CC=C3,Inactive,1,,,204.5,2.64796e+07,205.1,2.58484e+07,0.81,0.44,0.63,97.51,94.83
50141,92158932,3228563,COC1=CC=C(C=C1)CNC(=O)C(C2=CC=CC=N2)OC(=O)C3=CN=C(C=C3)Cl,Inactive,2,,,202.5,2.62598e+07,201.5,2.6544e+07,2.1,2.77,2.44,96.7,97.38
50142,92158933,3225205,CN1CCC(CC1)N(CC2=CC=CO2)C(=O)C3=CC4=C(N3CC5=CC=CC=C5)C=CS4,Inactive,2,,,201.2,2.7431e+07,205.3,2.75212e+07,2.94,0.31,1.63,101.01,100.96
50143,92158934,1451524,CC(=CC(=O)NC1=NN=C(S1)CC2=CC=CC=C2)C,Inactive,2,,,202.2,2.74427e+07,203.8,2.75677e+07,2.29,1.28,1.79,101.05,101.14
50144,92158935,877392,CC1=CC=C(C=C1)C(=O)NC2CC(NC(C2)(C)C)(C)C,Inactive,1,,,204.7,2.68124e+07,203.8,2.69399e+07,0.68,1.28,0.98,98.73,98.83
50145,92158936,1801052,C1=CC=C(C=C1)C2=NN(C(=O)C3=CC=CC=C32)CCC#N,Inactive,1,,,204.9,2.71663e+07,202.3,2.73428e+07,0.55,2.25,1.4,100.03,100.31
50146,92158937,2907043,CC1CCCC(N1C(=O)C2=C(C=C(C=C2)C)Cl)C,Inactive,1,,,203.2,2.71545e+07,205.6,2.71048e+07,1.65,0.11,0.88,99.99,99.44
50147,92158938,979626,CC(C)C(=O)N1CCN(CC1)C2=C(C=C(C=C2)NC(=O)CC3=CC=CC=C3)Cl,Inactive,2,,,202.2,2.73904e+07,203.3,2.75865e+07,2.29,1.6,1.95,100.86,101.2
50148,92158939,2924299,CCC(C1=CC=CC=C1)C(=O)N2CCN(CC2)C3=CC=CC=N3,Inactive,1,,,203.4,2.74276e+07,206.3,2.68999e+07,1.52,-0.34,0.59,101,98.69
50149,92158940,1086977,CCOC(=O)C1=C(N=C(S1)N2C(=O)CC(=N2)C)C,Inactive,0,,,205.8,2.63725e+07,205.9,2.64365e+07,-0.03,-0.08,-0.06,97.11,96.99
50150,92158941,3230897,CSC1=CC=C(C=C1)NC(=O)N2C3CCC2CC(C3)(C4=CN=CC=C4)O,Inactive,1,,,203.5,2.75058e+07,203.9,2.74971e+07,1.45,1.21,1.33,101.28,100.88
50151,92158942,3230877,COC1=CC=CC(=C1)NC(=O)N2C3CCC2CC(C3)(C4=CN=CC=C4)O,Inactive,0,,,206.9,2.61105e+07,205.8,2.63149e+07,-0.74,-0.02,-0.38,96.15,96.54
50152,92158943,651436,CCOC(=O)C1=CC=C(C=C1)N=C2N(C(=O)C=C(S2)C(=O)OC)C3CC3,Inactive,2,,,203.3,2.78285e+07,203.4,2.79134e+07,1.58,1.54,1.56,102.47,102.4
50153,92158944,1454587,CC1=NC2=CC(=C(C=C2C(=O)N1CC3=CC=CC=C3)NC(=O)C4CC4)N5CCN(CC5)C,Inactive,0,,,206.6,2.64763e+07,208.2,2.65072e+07,-0.55,-1.57,-1.06,97.49,97.24
50154,92158945,52095,COC1=CC=CC=C1C(=O)NCCN2CCCC2,Inactive,1,,,203.1,2.66007e+07,204.8,2.6653e+07,1.71,0.63,1.17,97.95,97.78
50155,92158946,551139,C1CC2C(=O)NC3=CC=CC=C3C(=O)N2C1,Inactive,1,,,205.1,2.64294e+07,204.4,2.63752e+07,0.42,0.89,0.66,97.32,96.76
50156,92158947,1072985,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3N2)NC(=O)C(C)C,Inactive,0,,,204,2.70228e+07,206.3,2.71299e+07,1.13,-0.34,0.4,99.51,99.53
50157,92158948,3220145,CC1=CC(=NO1)NC(=O)C2C3C(=O)N(C(C34C=CC2(O4)C)C(=O)NC5CCCCC5)CCC6=CC=C(C=C6)OC,Inactive,1,,,204.1,2.67672e+07,205,2.68354e+07,1.07,0.5,0.79,98.56,98.45
50158,92158949,952983,CC(C)(C)C(=O)NC1=CC2=C(C=C1)OC(=O)C=C2,Inactive,2,,,201.5,2.73647e+07,205,2.75557e+07,2.75,0.5,1.63,100.76,101.09
50159,92158950,3154903,CCCOC1=C(C=C(C=C1)C2C3CN(CC=C3C(=C(C2(C#N)C#N)N)C#N)CC)OC,Inactive,2,,,203.3,2.82576e+07,202.3,2.83196e+07,1.58,2.25,1.92,104.05,103.89
50160,92158951,654329,C1CC1C(=O)NC2=NC=C(C=C2)NC(=O)C3=CC(=CC=C3)F,Inactive,1,,,203.3,2.76089e+07,206.3,2.77934e+07,1.58,-0.34,0.62,101.66,101.96
50161,92158952,1462227,CCN1C2=CC=CC=C2N=C1N3CCN(CC3)C(=O)NC4=CC(=C(C=C4)Cl)C(F)(F)F,Inactive,0,,,204.9,2.76012e+07,205.3,2.77069e+07,0.55,0.31,0.43,101.64,101.65
50162,92158953,3156859,C1=CC=C(C=C1)C(=O)NCCNCC2=CC=CO2,Inactive,0,,,206.5,2.51328e+07,209.2,2.52484e+07,-0.48,-2.22,-1.35,92.55,92.63
50163,92158954,3219634,C1CC(N(C1)C(=O)NCC2=CC=CC=C2)C(=O)NC3=CC=CC=C3,Inactive,1,,,202.5,2.74144e+07,205.9,2.71765e+07,2.1,-0.08,1.01,100.95,99.7
50164,92158955,1087779,C1CCN(C1)S(=O)(=O)C2=CC=CC(=C2)C(=O)OC3=CC4=C(C=C3)OCO4,Inactive,0,,,205.2,2.59981e+07,206.1,2.72063e+07,0.36,-0.21,0.08,95.73,99.81
50165,92158956,2998776,CC1C(=O)N(C(=NCC=C)S1)S(=O)(=O)C2=CC=CC=C2,Inactive,0,,,204.7,2.65402e+07,206.9,2.59303e+07,0.68,-0.73,-0.03,97.73,95.13
50166,92158957,2903029,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)CC3=CC=CC=C3Cl,Inactive,0,,,204.9,2.6353e+07,205.5,2.65286e+07,0.55,0.18,0.37,97.04,97.32
50167,92158958,2207638,C1=CC=C(C=C1)N2C=NC(=C(C2=O)Cl)NCCO,Inactive,0,,,204.7,2.7556e+07,207.1,2.7534e+07,0.68,-0.86,-0.09,101.47,101.01
50168,92158959,652506,COCCN1C(=NN=N1)CN2CCC(CC2)NC(=O)NC3=CC(=CC=C3)OC,Inactive,0,,,209.3,2.58722e+07,209.8,2.5989e+07,-2.29,-2.61,-2.45,95.27,95.34
50169,92158960,6488202,C1=CC=C(C=C1)CC2=NC3=C(C=CC(=C3)Cl)C(=O)N2N,Inactive,0,,,205,2.73265e+07,208.1,2.74872e+07,0.48,-1.51,-0.52,100.62,100.84
50170,92158961,2961929,CCC1=C2C(=NN1)OC(=C(C23C4=C(C=CC(=C4)Cl)NC3=O)C#N)N,Inactive,0,,,207.7,2.60567e+07,211.7,2.63822e+07,-1.26,-3.84,-2.55,95.95,96.79
50171,92158962,6487221,COC1CCCC(C1)C(=O)NN2C(=NC3=CC=CC=C3C2=O)C4CC4,Inactive,0,,,206.4,2.73741e+07,208.6,2.73857e+07,-0.42,-1.83,-1.13,100.8,100.47
50172,92158963,656004,C1CCC(CC1)NC(=O)N2C3CCC2CC(C3)NC(=O)NC45CC6CC(C4)CC(C6)C5,Inactive,0,,,206.9,2.76027e+07,206.8,2.76887e+07,-0.74,-0.66,-0.7,101.64,101.58
50173,92158964,3193638,CC(C)(C)N1C(=NN=N1)C(C2=CC3=C(C=C2)N=CC=C3)N4CCC5=CC=CC=C54,Inactive,0,,,211.5,2.61851e+07,207.9,2.62758e+07,-3.72,-1.38,-2.55,96.42,96.4
50174,92158965,3193680,C1CCC(C1)N2C(=NN=N2)C(C3=CC=C(C=C3)F)N(CC4=CC=CC=C4)CC5=CC=CO5,Inactive,0,,,209.1,2.77292e+07,209.2,2.79142e+07,-2.16,-2.22,-2.19,102.11,102.41
50175,92158966,646114,CCCC1C2CN(CC=C2C(=C(C1(C#N)C#N)N)C#N)C(C)C,Inactive,12,,,186.5,3.2514e+07,187.9,3.23051e+07,12.44,11.57,12.01,119.73,118.51
50176,92158967,54675914,COC1=C(C=C2C(=C1)C(=C(C(=O)N2)C(=O)NCCN3CCCC3)O)OC,Inactive,0,,,209.7,2.53209e+07,211.5,2.54805e+07,-2.55,-3.71,-3.13,93.24,93.48
50177,92158968,3156396,COC(=O)CC1=C(C(C(=C(O1)N)C#N)C2=CC=C(C=C2)C(=O)OC)C(=O)OC,Inactive,0,,,206.9,2.64722e+07,210.9,2.67411e+07,-0.74,-3.32,-2.03,97.48,98.1
50178,92158969,1212787,CC(C)OC(=O)CC12CN(CC(C1=O)(CN(C2)C)CC(=O)OC(C)C)C,Inactive,0,,,207.2,2.70427e+07,207.4,2.70948e+07,-0.94,-1.05,-1,99.58,99.4
50179,92158970,3191187,CN1C=CC=C1C(C(=O)NC2CCCCC2)N(C3=CC=CC=C3)C(=O)CC4=CC=CS4,Inactive,0,,,204.5,2.72096e+07,207.5,2.71261e+07,0.81,-1.12,-0.16,100.19,99.51
50180,92158971,3153435,CC(C(=O)NCC1=CC=CC=N1)SCC2=CC=CC=C2,Inactive,1,,,205.4,2.77991e+07,203,2.77988e+07,0.23,1.8,1.02,102.36,101.98
50181,92158972,3155800,C1CCC(CC1)N2C(=O)CC(=O)NC2=O,Inactive,0,,,206.8,2.65587e+07,208.4,2.65889e+07,-0.68,-1.7,-1.19,97.8,97.54
50182,92158973,1017297,COC1=C(C=C(C=C1)CNN2C=NN=C2SCC3=CC=C(C=C3)F)OC,Inactive,0,,,209.3,2.65995e+07,207,2.66306e+07,-2.29,-0.79,-1.54,97.95,97.7
50183,92158974,951817,CC1=C(C2=CC=CC=C2N1CC(=O)NC3CCCCCC3)C#N,Inactive,0,,,206.8,2.72641e+07,207.5,2.73363e+07,-0.68,-1.12,-0.9,100.39,100.29
50184,92158975,3221042,COC1=CC=C(C=C1)CN2C(=NN=N2)CN3CCC(CC3)NC(=O)C4=CC(=CC=C4)OC,Inactive,0,,,205.7,2.63708e+07,207.2,2.63473e+07,0.03,-0.92,-0.45,97.1,96.66
50185,92158976,753273,CC(=O)N1C(=NC(=N1)C2=CC=C(C=C2)OC)N,Inactive,0,,,205.1,2.7077e+07,205.2,2.71759e+07,0.42,0.37,0.4,99.71,99.7
50186,92158977,654809,CC1CCN(CC1)C2=CC=C(C=C2)C(=O)O,Inactive,2,,,201.5,2.738e+07,204,2.57526e+07,2.75,1.15,1.95,100.82,94.48
50187,92158978,1088457,C1=CC=C(C=C1)C(=O)CN2C=NC3=C(C2=O)C=NN3C4=CC=CC=C4,Inactive,1,,,205.7,2.58756e+07,201.9,2.74564e+07,0.03,2.51,1.27,95.28,100.73
50188,92158979,555301,C1=CC=C(C=C1)OCC(=O)NC2=NC=NN2,Inactive,1,,,203.5,2.73807e+07,204.6,2.74353e+07,1.45,0.76,1.11,100.82,100.65
50189,92158980,1081075,CCOC(=O)C1=CC=C(C=C1)N2C(=O)CC(=N2)C(F)(F)F,Inactive,2,,,202.5,2.74283e+07,203.7,2.75158e+07,2.1,1.34,1.72,101,100.94
50190,92158981,653384,CC1(CC(CC(N1)(C)C)NC(=O)CC2=CC=CC=C2OC)C,Inactive,0,,,204.8,2.75694e+07,205.8,2.75519e+07,0.61,-0.02,0.3,101.52,101.08
50191,92158982,951579,CN(C1=CC=C(C=C1)C(=O)N2CCC3=CC=CC=C3C2)S(=O)(=O)C,Inactive,0,,,205.9,2.6856e+07,206.7,2.66221e+07,-0.1,-0.6,-0.35,98.89,97.67
50192,92158983,803937,C1CCC(CC1)CCC(=O)NC2=NC=NN2,Inactive,1,,,204.1,2.74222e+07,204,2.75197e+07,1.07,1.15,1.11,100.98,100.96
50193,92158984,646001,CC(C(=O)NCC1=CC2=C(C=C1)OCO2)N(C3=CC=CC=C3)S(=O)(=O)C,Inactive,0,,,205.6,2.72383e+07,204.6,2.72814e+07,0.1,0.76,0.43,100.3,100.08
50194,92158985,650591,CN1C(=O)CC(SC1=NC2=CC=CC(=C2)C(F)(F)F)C(=O)O,Inactive,2,,,201.4,2.72908e+07,203.3,2.75476e+07,2.81,1.6,2.21,100.49,101.06
50195,92158986,1085169,CS(=O)(=O)C1=CC2=C(C=C1)SC(=N2)N,Inactive,0,,,206.8,2.62576e+07,207.1,2.61292e+07,-0.68,-0.86,-0.77,96.69,95.86
50196,92158987,2961957,CC1=CC(=NC(=C1C#N)SC(C2=CC=CC=C2)C(=O)OC)C,Inactive,0,,,209.2,2.75151e+07,206.8,2.75491e+07,-2.23,-0.66,-1.45,101.32,101.07
50197,92158988,646145,CCNS(=O)(=O)C1=CC=C(C=C1)S(=O)(=O)N(CC2=CC=CC=N2)C3CCCCC3,Inactive,0,,,207.7,2.64773e+07,208.8,2.65299e+07,-1.26,-1.96,-1.61,97.5,97.33
50198,92158989,3154461,CC1CCCC(N1CC(C)OC(=O)C2=CC(=C(C(=C2)OC)OC)OC)C,Inactive,0,,,236.9,1.75723e+07,235.6,1.77275e+07,-20.13,-19.31,-19.72,64.71,65.04
50199,92158990,3231345,CC1CCC(C(C1)OC(=O)CN2C(=O)C3=C(N=N2)N(N=C3)C4=CC=CC=C4)C(C)C,Inactive,1,,,203.6,2.64075e+07,205.4,2.63752e+07,1.39,0.24,0.82,97.24,96.76
50200,92158991,801829,CCC(=O)NC1=C(C(=C(S1)C(=O)OC)C)C(=O)OCC,Inactive,1,,,204,2.76211e+07,203,2.77188e+07,1.13,1.8,1.47,101.71,101.69
50201,92158992,654943,CC1=NN=C(S1)N(C)C(=O)CC2=CC3=C(C=C2)OCO3,Inactive,0,,,204.8,2.75425e+07,207.6,2.75832e+07,0.61,-1.18,-0.29,101.42,101.19
50202,92158993,952772,C1=CSC(=C1)C(=O)NC2=CC3=C(C=C2)OC(=O)C=C3,Inactive,0,,,208.5,2.71806e+07,205.9,2.72654e+07,-1.78,-0.08,-0.93,100.09,100.03
50203,92158994,651263,CN1CC=C2C(C1)C(C(C(=C2C#N)N)(C#N)C#N)CC3=CC=CC=C3,Inactive,19,,,176,3.58324e+07,177.6,3.54682e+07,19.22,18.24,18.73,131.95,130.12
50204,92158995,3230799,CC1=CN2C(=NC(=C2NCCOC)C3=CC=C(C=C3)N)C=C1,Inactive,0,,,207.7,2.68081e+07,206.9,2.67021e+07,-1.26,-0.73,-1,98.72,97.96
50205,92158996,647965,C1CN(CCC1NC(=O)NC2=CC=CC=C2C3=CC=CC=C3)CC(=O)N4CCOCC4,Inactive,0,,,208.4,2.64738e+07,206.5,2.64767e+07,-1.71,-0.47,-1.09,97.48,97.13
50206,92158997,3156897,C1CCC(C1)NCCNC(=O)C2=CC=CS2,Inactive,0,,,207.9,2.57274e+07,209.5,2.57071e+07,-1.39,-2.41,-1.9,94.74,94.31
50207,92158998,3220712,CCOC(=O)C1=CC=C(C=C1)NC(=O)NC2CC3CCC(C2)N3C(=S)NCC4=CC=CO4,Inactive,0,,,204.9,2.67681e+07,205.5,2.7282e+07,0.55,0.18,0.37,98.57,100.09
50208,92158999,2900470,C1C(NC(=S)NC1=O)C2=CC=CC=C2,Inactive,0,,,205.9,2.71906e+07,207.7,2.74043e+07,-0.1,-1.25,-0.68,100.12,100.54
50209,92159000,2998505,CCN=C1N(C(=O)C(S1)CC(=O)NC2=CC=CC=C2)CC,Inactive,0,,,208.8,2.5927e+07,209.3,2.5649e+07,-1.97,-2.28,-2.13,95.47,94.1
50210,92159001,883366,CCS(=O)(=O)N1CCN(CC1)C2CCCCCCC2,Inactive,0,,,205.2,2.64301e+07,208.3,2.64779e+07,0.36,-1.63,-0.64,97.32,97.14
50211,92159002,644783,C1CN(COC1)C(=O)CC23CC4CC(C2)CC(C4)C3,Inactive,0,,,208.4,2.71504e+07,207.2,2.71435e+07,-1.71,-0.92,-1.32,99.98,99.58
50212,92159003,1155306,CC(C)(C)NS(=O)(=O)C1=CC=C(C=C1)C2=NN=C(O2)SCC(=O)C3=CC=C(C=C3)F,Inactive,0,,,208.2,2.71585e+07,204.6,2.76336e+07,-1.58,0.76,-0.41,100.01,101.38
50213,92159004,3212752,CCCCN(C1=NN=C(S1)C2=CC(=CC(=C2)OC)OC)C(=O)C3=CC=CS3,Inactive,0,,,209.1,2.51914e+07,210.4,2.54391e+07,-2.16,-2.99,-2.58,92.76,93.33
50214,92159005,1770179,C#CCOC1=CC=C(C=C1)C2C3=C(CCCC3=O)N(C4=C2C(=O)CCC4)CCC(=O)O,Inactive,0,,,205.9,2.73511e+07,206.3,2.7469e+07,-0.1,-0.34,-0.22,100.71,100.77
50215,92159006,2836165,C1=CC=C(C=C1)N(CC(CO)O)C2=CC=CC=C2,Inactive,0,,,209.3,2.52376e+07,211.2,2.51436e+07,-2.29,-3.51,-2.9,92.93,92.24
50216,92159007,3220688,CNC(=S)N1C2CCC1CC(C2)NC(=O)NC34CC5CC(C3)CC(C5)C4,Inactive,0,,,205.3,2.74528e+07,206.9,2.74731e+07,0.29,-0.73,-0.22,101.09,100.79
50217,92159008,3193648,CC(C)(C)N1C(=NN=N1)C(C2=CC3=C(C=C2)N=CC=C3)N4CCOCC4,Inactive,0,,,207.4,2.71222e+07,209.3,2.71762e+07,-1.07,-2.28,-1.68,99.87,99.7
50218,92159009,3224354,CCCCNC1=C2C(=NC=N1)N(N=N2)CC3=CC=CC=C3Cl,Inactive,0,,,208.4,2.61258e+07,210.6,2.61137e+07,-1.71,-3.12,-2.42,96.2,95.8
50219,92159010,3154948,CCCC1C2CN(CC=C2C(=C(C1(C#N)C#N)N)C#N)CC3=CC=CC=C3,Inactive,23,,,162.2,4.90089e+07,177.4,5.07135e+07,28.14,18.37,23.26,180.46,186.05
50220,92159011,54675898,COC1=C(C=C2C(=C1)C(=C(C(=O)N2)C(=O)NCCN3CCNCC3)O)OC,Inactive,0,,,208.3,2.63994e+07,212,2.63174e+07,-1.65,-4.03,-2.84,97.21,96.55
50221,92159012,3156406,C1C=C2C(CN1C(=O)OCC3=CC=CC=C3)C(C(C(=C2C#N)N)(C#N)C#N)C4=CC=CS4,Inactive,0,,,207,2.73072e+07,208,2.74919e+07,-0.81,-1.44,-1.13,100.55,100.86
50222,92159013,3138595,CC(C(=O)NCC1(CCOCC1)C2=CC=CC=C2)N3CCCCC3,Inactive,0,,,206.8,2.57219e+07,206.9,2.57828e+07,-0.68,-0.73,-0.71,94.72,94.59
50223,92159014,1451980,C1OC2=C(O1)C=C(C=C2)CNC(=O)CN(C3=CC=CC=C3)C(=O)C4=CSN=N4,Inactive,0,,,205.6,2.70258e+07,206,2.71168e+07,0.1,-0.15,-0.03,99.52,99.48
50224,92159015,715384,CS(=O)(=O)C1=CC=C(C=C1)C2=NN(N=N2)CC(=O)NC3CCCC3,Inactive,0,,,205.4,2.70762e+07,206.8,2.7128e+07,0.23,-0.66,-0.22,99.7,99.52
50225,92159016,2925119,CC1=C(C(NC(=O)N1)C2=CC=CC=C2Cl)C(=O)N(C)C,Inactive,0,,,210.5,2.60303e+07,208.5,2.60204e+07,-3.07,-1.76,-2.42,95.85,95.46
50226,92159017,834090,CC(C)(C)NC(=O)COC1=C(C=C(C=C1)CNN2C=NN=C2)OC,Inactive,0,,,208.1,2.72957e+07,209,2.74054e+07,-1.52,-2.09,-1.81,100.51,100.54
50227,92159018,1498662,C1C(=O)N(C(=O)S1)CC2=CC3=C(C=C2Cl)OCO3,Inactive,0,,,206.9,2.73932e+07,206.8,2.75197e+07,-0.74,-0.66,-0.7,100.87,100.96
50228,92159019,697568,CC1=CC(=NC(=C1C#N)S(=O)(=O)C)C,Inactive,0,,,206.1,2.61236e+07,206.9,2.62374e+07,-0.23,-0.73,-0.48,96.19,96.25
50229,92159020,753287,COC1=CC=C(C=C1)C2=NN(C(=N2)N)C(=O)C3=CC=CO3,Inactive,0,,,203.8,2.54925e+07,206.6,2.56893e+07,1.26,-0.53,0.37,93.87,94.24
50230,92159021,1938498,C1C(=O)N(C(=O)S1)CCC(=O)O,Inactive,2,,,203,2.68555e+07,202.4,2.70118e+07,1.78,2.18,1.98,98.89,99.1
50231,92159022,1431320,C1=CC=C(C(=C1)C(=O)N)NC(=O)COCC(=O)O,Inactive,1,,,204.2,2.60972e+07,204,2.62344e+07,1,1.15,1.08,96.1,96.24
50232,92159023,1154207,CC(C)C1=CC=CC=C1NC(=O)C2=CC=CS2,Inactive,1,,,204.4,2.7295e+07,204.5,2.74776e+07,0.87,0.83,0.85,100.51,100.8
50233,92159024,654906,COC(=O)C1C2C=CC3(C1C(=O)N(C3)C4CCCC4)O2,Inactive,0,,,206.2,2.68968e+07,207,2.69336e+07,-0.29,-0.79,-0.54,99.04,98.81
50234,92159025,806920,C1CCC(CC1)CC(=O)NC2=CC=CC=N2,Inactive,0,,,204.4,2.6569e+07,206.3,2.67131e+07,0.87,-0.34,0.27,97.83,98
50235,92159026,951578,CN(C1=CC=C(C=C1)C(=O)NCC2=CN=CC=C2)S(=O)(=O)C,Inactive,0,,,207.5,2.60394e+07,207.4,2.61407e+07,-1.13,-1.05,-1.09,95.88,95.9
50236,92159027,912652,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CC=CC4=CC=CC=C43,Inactive,0,,,206.6,2.67108e+07,205.1,2.68767e+07,-0.55,0.44,-0.06,98.36,98.6
50237,92159028,651497,CC1CCN(CC1)C(=O)CN(CCC2=CC=CC=C2)S(=O)(=O)C,Inactive,0,,,204.9,2.68753e+07,206.1,2.67529e+07,0.55,-0.21,0.17,98.96,98.15
50238,92159029,3141799,COC1=CC=C(C=C1)N=C2N(C(=O)CC(S2)C(=O)N)CC3=CC=CC=C3,Inactive,1,,,205.4,2.68295e+07,204.1,2.7217e+07,0.23,1.08,0.66,98.79,99.85
50239,92159030,2947648,CN(C1=CC=C(C=C1)C(=O)NCC2CCCO2)S(=O)(=O)C,Inactive,0,,,207.3,2.69506e+07,207.3,2.69732e+07,-1,-0.99,-1,99.24,98.95
50240,92159031,973714,CN1CCC2=NC3=C(C=C2C1)C4=C(S3)C(=O)NC(=O)N4,Inactive,5,,,200.6,2.7176e+07,196.7,2.78694e+07,3.33,5.87,4.6,100.07,102.24
50241,92159032,1448423,CC(C)(C)OC(=O)NCC1=NNC(=S)N1C2=CC(=CC=C2)OC,Inactive,0,,,206.7,2.68609e+07,207.4,2.70186e+07,-0.61,-1.05,-0.83,98.91,99.12
50242,92159033,975557,CN1CCC(CC1)OC(=O)COC2=CC=C(C=C2)F,Inactive,0,,,205.3,2.71401e+07,204.9,2.72619e+07,0.29,0.57,0.43,99.94,100.01
50243,92159034,1434774,CCN(CC)CCNC1=C2CCCC2=NC3=CC(=NN31)C4=CC(=C(C=C4)OC)OC,Inactive,0,,,208,2.56301e+07,209.1,2.57315e+07,-1.45,-2.15,-1.8,94.38,94.4
50244,92159035,2292412,CCCOC1=CC=CC(=C1)C(=O)NCC2=CN=CC=C2,Inactive,1,,,203.2,2.66807e+07,205.7,2.7016e+07,1.65,0.05,0.85,98.25,99.11
50245,92159036,3154963,CC(=O)N1CC=C2C(C1)C(C(C(=C2C#N)N)(C#N)C#N)CC3=CC=CC=C3,Inactive,0,,,204.7,2.69062e+07,207.8,2.676e+07,0.68,-1.31,-0.32,99.08,98.17
50246,92159037,965724,C1=CC(=CC(=C1)F)C(=O)NC2=CC3=C(C=C2)OC(=O)C=C3,Inactive,1,,,202.6,2.7033e+07,205.6,2.73795e+07,2.04,0.11,1.08,99.54,100.44
50247,92159038,647683,CN1CC=C2C(C1)C(C(C(=C2C#N)N)(C#N)C#N)CCC3=CC=CC=C3,Inactive,22,,,171,3.58061e+07,172.4,3.53782e+07,22.46,21.61,22.04,131.85,129.79
50248,92159039,650322,C1CN(CCC1C(=O)NCC2=CC=CS2)C3=C(C=C(C=C3)S(=O)(=O)N4CCOCC4)Cl,Inactive,0,,,205.5,2.63178e+07,207.8,2.66249e+07,0.16,-1.31,-0.58,96.91,97.68
50249,92159040,655994,C1CN(CCC1NC(=O)NC2=CC=CC=C2C3=CC=CC=C3)CC(=O)NCC4=CC=CO4,Inactive,1,,,204.4,2.72478e+07,205.3,2.70693e+07,0.87,0.31,0.59,100.33,99.31
50250,92159041,1451725,CCCN(C1=NN=C(S1)C2=CC(=C(C(=C2)OC)OC)OC)C(=O)C(C)C,Inactive,0,,,228,2.59479e+07,230.8,2.6044e+07,-14.38,-16.2,-15.29,95.55,95.55
50251,92159042,753418,CC(=C)C1=CC(=CC=C1)C(C)(C)NC(=O)NCC2=CN=CC=C2,Inactive,0,,,207.2,2.72298e+07,207.4,2.75002e+07,-0.94,-1.05,-1,100.27,100.89
