PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Fluorescence Polarization (mP)_A,Fluorescence Intensity_A,Fluorescence Polarization (mP)_B,Fluorescence Intensity_B,Normalized % Inhibition_A,Normalized % Inhibition_B,Normalized % Inhibition_Avg,Normalized Fluorescence Intensity_A,Normalized Fluorescence Intensity_B
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"Fluoresence polarization for replicate A, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate A.,"Fluoresence polarization for replicate B, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate B.,"Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate A.","Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate B.","Fluorescence polarization, normalized to plate average FP of positive and negative controls (average of A and B replicates)",Fluorescence intensity normalized to average intensity of all wells on plate.,Fluorescence intensity normalized to average intensity of all wells on plate.
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,RATIO,RATIO
75680,92145575,16295777,CC(C1CC1)N(CC(F)(F)F)C(=O)C2=NC3=CC=CC=C3N=C2,Inactive,2,,,200.3,2.57252e+07,202.3,2.57093e+07,1.46,1.65,1.56,96.39,96.73
75681,92145576,16283201,CC1=CSC(=O)N1CCC(=O)OCC(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCCCC3,Inactive,0,,,203.9,2.76267e+07,206.1,2.75911e+07,-0.89,-0.85,-0.87,103.52,103.81
75682,92145577,8893384,CCOC1=CC=C(C=C1)OCC(=O)OCC2=NC=C(O2)C3=CC=CC=C3,Inactive,7,,,193.6,2.57474e+07,191.5,2.57319e+07,5.83,8.78,7.31,96.48,96.82
75683,92145578,16271851,CC1=NN2C3=CC=CC=C3C(=NC2=C1)NCCOC4=CC=CC=C4,Inactive,5,,,194.9,2.65495e+07,198,2.64332e+07,4.98,4.49,4.74,99.48,99.45
75684,92145579,2456057,CCN(CC(=O)NCC1=CC=C(C=C1)F)C(=O)C2=CC=C(O2)C,Inactive,6,,,194.7,2.62166e+07,195.6,2.61993e+07,5.11,6.08,5.6,98.24,98.57
75685,92145580,16272134,CC1CCC(CC1)NS(=O)(=O)C2=CC=CC(=C2)C(F)(F)F,Inactive,5,,,194.5,2.67811e+07,196.5,2.65646e+07,5.24,5.48,5.36,100.35,99.95
75686,92145581,670635,CC(C)(C)C1=CC=C(C=C1)NC(=O)CCC(=O)O,Inactive,4,,,197.8,2.66042e+07,197.4,2.67172e+07,3.09,4.89,3.99,99.69,100.52
75687,92145582,4423275,CC(C1CC2CCC1C2)NC3=NC=NC4=C3OC5=CC=CC=C54,Inactive,3,,,199.5,2.71807e+07,199.8,2.67702e+07,1.98,3.3,2.64,101.85,100.72
75688,92145583,135591378,CC(C)N(CC1=NC2=CC=CC=C2C(=O)N1)C(=O)CC3=CC=C(S3)S(=O)(=O)N4CCOCC4,Inactive,4,,,197.6,2.69163e+07,197.7,2.6738e+07,3.22,4.69,3.96,100.86,100.6
75689,92145584,9608862,CC\1(C2=CC=CC=C2N(/C1=C/C=N/NC(=O)CNC3=CC=CC=C3OC)C)C,Inactive,4,,,198.8,2.57517e+07,196.5,2.58076e+07,2.43,5.48,3.96,96.49,97.1
75690,92145585,8893752,C1=CC2=C(C=C1Br)C(=NC=N2)OCC(=O)N,Inactive,4,,,198,2.72068e+07,196.2,2.7192e+07,2.96,5.68,4.32,101.95,102.31
75691,92145586,16272518,CC(C#N)OC(=O)CN1C=C(C=CC1=O)C(F)(F)F,Inactive,3,,,199.6,2.66685e+07,197.4,2.66084e+07,1.91,4.89,3.4,99.93,100.11
75692,92145587,135781161,CC1=CC=C(C=C1)C2=NN=C(O2)SC/C(=C(/C3=NC4=CC=CC=C4N3)\C(=O)OC)/O,Inactive,3,,,198.5,2.68902e+07,198.9,2.67916e+07,2.63,3.9,3.27,100.76,100.8
75693,92145588,8893958,C1COC2=C(C(=CC(=C2)/C=C/C(=O)OC3=CC=C(C=C3)C4=NN=CO4)Cl)OC1,Inactive,2,,,201.7,2.65035e+07,200.4,2.63009e+07,0.54,2.91,1.73,99.31,98.96
75694,92145589,16272284,COC1=C(C=C(C=C1)CNC(=O)COC(=O)C2=CC=CC=C2NS(=O)(=O)C)OC,Inactive,2,,,200.4,2.65013e+07,200.2,2.68202e+07,1.39,3.04,2.22,99.3,100.91
75695,92145590,135781162,COC(=O)/C(=C(\CSC1=NN=NN1C2=CC=C(C=C2)O)/O)/C3=NC4=CC=CC=C4N3,Inactive,2,,,199.5,2.68701e+07,203,2.64406e+07,1.98,1.19,1.59,100.68,99.48
75696,92145591,16279486,CC1=C(C(=C(C(=C1C)C)S(=O)(=O)N2CCNC(=O)C2CC(=O)OC)C)C,Inactive,1,,,201.2,2.71747e+07,201.7,2.71536e+07,0.87,2.05,1.46,101.83,102.16
75697,92145592,8893715,C1CS(=O)(=O)N=C2N1C=CC=C2C(=O)OC3=CC=C(C=C3)C4=NN=CO4,Inactive,3,,,198.9,2.71455e+07,200,2.68599e+07,2.37,3.17,2.77,101.72,101.06
75698,92145593,8893918,CC1=CC(=C(C=C1)C)NC(=O)CN(C)C2=NC=CC=N2,Inactive,3,,,199.2,2.61216e+07,199,2.61359e+07,2.17,3.83,3,97.88,98.34
75699,92145594,9720107,COC(=O)N/N=C/1\CCCCC2=CC=CC=C21,Inactive,2,,,201.4,2.7179e+07,199.5,2.71698e+07,0.74,3.5,2.12,101.84,102.23
75700,92145595,532044,COC1=CC=C(C=C1)NC(=O)CSC2=CC=CC=C2,Inactive,7,,,194.7,2.67033e+07,192.6,2.67417e+07,5.11,8.06,6.59,100.06,100.61
75701,92145596,8893200,CN(CC1=CC(=C(C=C1)OC)F)C(=O)/C=C/C2=CN(C3=CC=CC=C32)CCC#N,Inactive,0,,,203,2.38799e+07,203.8,2.42204e+07,-0.31,0.66,0.18,89.48,91.13
75702,92145597,8894038,CCN(C1=CCCC1)C(=O)CN2C=C(C=CC2=O)C(F)(F)F,Inactive,2,,,200.3,2.67193e+07,201.1,2.67513e+07,1.46,2.45,1.96,100.12,100.65
75703,92145598,4826952,C1CCCN(CC1)C(=O)CN2C(=O)C(=C(C=N2)Cl)Cl,Inactive,1,,,199.6,2.64989e+07,203.4,2.64526e+07,1.91,0.93,1.42,99.29,99.53
