SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
C=CC[C@@H]1C(=O)OC(=C(O)CNC(N)=[NH2+])C1OC,False,C11H18N3O4+,256.1292,18
C=CC[C@@H]1C(=O)OC(=C(CNC(N)=[NH2+])OC(C)=O)C1O,False,C12H18N3O5+,284.1241,20
C=CC[C@@H]1C(=O)OC(=C(O)CNC(N)=[NH2+])C1OC(C)=O,False,C12H18N3O5+,284.1241,20
C=CC[C@@H]1C(=O)OC(=C(Cl)CNC(N)=[NH2+])C1O,False,C10H15ClN3O3+,260.0796,17
C=CC[C@@H]1C(=O)OC2(OC2(O)CNC(N)=[NH2+])C1O,False,C10H16N3O5+,258.1084,18
C=CC[C@@H]1C(=O)OC(=C(O)CNC(N)=O)C1O,False,C10H14N2O5,242.0903,17
C=CC[C@@H]1C(=O)OC(=C(O)C=O)C1O,False,C9H10O5,198.0528,14
C[C@@H]1C(=O)OC(=C(O)CNC(N)=[NH2+])C1O,False,C8H14N3O4+,216.0979,15
C=CC[C@@H]1C(=O)OC(=C(O)CNC(N)=[NH2+])C1(O)C=C,False,C12H18N3O4+,268.1292,19
C=CC[C@@H]1C(=O)OC(=C(O)C(C=C)NC(N)=[NH2+])C1O,False,C12H18N3O4+,268.1292,19
C=CC[C@@]1(C=C)C(=O)OC(=C(O)CNC(N)=[NH2+])C1O,False,C12H18N3O4+,268.1292,19
C=CC(C=C)[C@@H]1C(=O)OC(=C(O)CNC(N)=[NH2+])C1O,False,C12H18N3O4+,268.1292,19
C=CC(=C)C[C@@H]1C(=O)OC(=C(O)CNC(N)=[NH2+])C1O,False,C12H18N3O4+,268.1292,19
C=CC=CC[C@@H]1C(=O)OC(=C(O)CNC(N)=[NH2+])C1O,False,C12H18N3O4+,268.1292,19
C=CC[C@H]1C(=O)C(=C)OC1(O)C(O)NC(N)=[NH2+],False,C10H16N3O4+,242.1135,17
C=CC[C@]1(C(O)NC(N)=[NH2+])C(=O)C(=C)OC1O,False,C10H16N3O4+,242.1135,17
C=CCC1(O)CC(=O)C(=CC(O)NC(N)=[NH2+])O1,False,C10H16N3O4+,242.1135,17
C=CC1(O)OC(=CC(O)NC(N)=[NH2+])C(=O)[C@@H]1C,False,C10H16N3O4+,242.1135,17
C=CC[C@H]1C(=O)C(=C)OC1O,False,C8H10O3,154.063,11
C=CC[C@H]1C2=NC(=[NH2+])NC(O)C=C2OC1O,False,C10H14N3O3+,224.103,16
C=CC[C@H]1C2=[N+]=C(N)NC(O)C=C2OC1O,False,C10H14N3O3+,224.103,16
C=CC[C@H]1C(=O)C(=CC=O)OC1O,False,C9H10O4,182.0579,13
C=CC[C@H]1C(=O)C(=CC(=O)NC(N)=[NH2+])OC1O,False,C10H14N3O4+,240.0979,17
C=CC[C@H]1C(=O)C(=CC(NC(N)=[NH2+])OC)OC1O,False,C11H18N3O4+,256.1292,18
C=CC[C@H]1C(=O)C(=CC(O)NC(N)=[NH2+])OC1OC,False,C11H18N3O4+,256.1292,18
C=CC[C@H]1C(=O)C(=CC(NC(N)=[NH2+])OC(C)=O)OC1O,False,C12H18N3O5+,284.1241,20
C=CC[C@H]1C(=O)C(=CC(O)NC(N)=[NH2+])OC1OC(C)=O,False,C12H18N3O5+,284.1241,20
C=CC[C@H]1C(=O)C(=CC(Cl)NC(N)=[NH2+])OC1O,False,C10H15ClN3O3+,260.0796,17
C=CC[C@H]1C(=O)C2(OC1O)OC2C(O)NC(N)=[NH2+],False,C10H16N3O5+,258.1084,18
C=CC[C@@H]1C(O)OC(=CC(O)(O)NC(N)=[NH2+])C1O,False,C10H18N3O5+,260.1241,18
C=CC[C@H]1C(=O)C(=CC(O)NC(N)=O)OC1O,False,C10H14N2O5,242.0903,17
C=CC[C@H]1C(=O)C(=CC(=O)O)OC1O,False,C9H10O5,198.0528,14
C[C@H]1C(=O)C(=CC(O)NC(N)=[NH2+])OC1O,False,C8H14N3O4+,216.0979,15
C=CC[C@H]1C(=O)C(=CC(O)(C=C)NC(N)=[NH2+])OC1O,False,C12H18N3O4+,268.1292,19
C=CC[C@H]1C(=O)C(=CC(O)NC(N)=[NH2+])OC1(O)C=C,False,C12H18N3O4+,268.1292,19
C=CC[C@H]1C(=O)C(=C(C=C)C(O)NC(N)=[NH2+])OC1O,False,C12H18N3O4+,268.1292,19
C=CC[C@]1(C=C)C(=O)C(=CC(O)NC(N)=[NH2+])OC1O,False,C12H18N3O4+,268.1292,19
C=CC(C=C)[C@H]1C(=O)C(=CC(O)NC(N)=[NH2+])OC1O,False,C12H18N3O4+,268.1292,19
C=CC(=C)C[C@H]1C(=O)C(=CC(O)NC(N)=[NH2+])OC1O,False,C12H18N3O4+,268.1292,19
C=CC=CC[C@H]1C(=O)C(=CC(O)NC(N)=[NH2+])OC1O,False,C12H18N3O4+,268.1292,19
C=CC[C@@H]1C(=O)OC(=C)C1(O)C(O)NC(N)=[NH2+],False,C10H16N3O4+,242.1135,17
C=CC[C@@]1(C(O)NC(N)=[NH2+])C(=O)OC(=C)C1O,False,C10H16N3O4+,242.1135,17
C=CCC1(O)CC(=O)OC1=CC(O)NC(N)=[NH2+],False,C10H16N3O4+,242.1135,17
C=CC1(O)C(=CC(O)NC(N)=[NH2+])OC(=O)[C@H]1C,False,C10H16N3O4+,242.1135,17
C=CC[C@@H]1C(=O)OC(=C)C1O,False,C8H10O3,154.063,11
C=CC[C@@H]1C2=NC(=[NH2+])NC(O)C=C(O2)C1O,False,C10H14N3O3+,224.103,16
C=CC[C@@H]1C2=[N+]=C(N)NC(O)C=C(O2)C1O,False,C10H14N3O3+,224.103,16
C=CC[C@@H]1C(=O)OC(=CC=O)C1O,False,C9H10O4,182.0579,13
C=CC[C@@H]1C(=O)OC(=CC(=O)NC(N)=[NH2+])C1O,False,C10H14N3O4+,240.0979,17
C=CC[C@@H]1C(=O)OC(=CC(NC(N)=[NH2+])OC)C1O,False,C11H18N3O4+,256.1292,18
C=CC[C@@H]1C(=O)OC(=CC(O)NC(N)=[NH2+])C1OC,False,C11H18N3O4+,256.1292,18
C=CC[C@@H]1C(=O)OC(=CC(NC(N)=[NH2+])OC(C)=O)C1O,False,C12H18N3O5+,284.1241,20
C=CC[C@@H]1C(=O)OC(=CC(O)NC(N)=[NH2+])C1OC(C)=O,False,C12H18N3O5+,284.1241,20
C=CC[C@@H]1C(=O)OC(=CC(Cl)NC(N)=[NH2+])C1O,False,C10H15ClN3O3+,260.0796,17
C=CC[C@@H]1C(=O)OC2(OC2C(O)NC(N)=[NH2+])C1O,False,C10H16N3O5+,258.1084,18
C=CC[C@@H]1C(=O)OC(=CC(O)NC(N)=O)C1O,False,C10H14N2O5,242.0903,17
