starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,CCOC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,2,0.7255,
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,CO[C@@H]1[C@H](OC)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,2,0.6863,
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C(C)O,3,0.5614,
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,C[n+]1cn([C@@H]2O[C@H](C(N)=O)[C@@H](O)[C@H]2O)c2[nH]c(=O)[nH]c(=O)c21,3,0.371,
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,CO[C@@H]1[C@H](O)[C@@H](C(=O)O)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,2,0.5439,
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,COC(=O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,2,0.6346,
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,O=COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,2,0.7255,
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C(=O)O,2,0.5714,
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C=O,3,0.569,
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,1,0.7551,
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,1,0.76,
