SMILES,isStarter,molFormula,molWeight,numHeavyAtoms
CC[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C10H15N4O4+,255.1088,18
CCCC[C@H]1C(=O)OC(=CC(CC)N(C(N)=[NH2+])C(N)=O)C1=O,False,C14H23N4O4+,311.1714,22
CCC[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C11H17N4O4+,269.1244,19
CCCC[C@H]1C(=O)OC(=C(CCC)CN(C(N)=[NH2+])C(N)=O)C1=O,False,C15H25N4O4+,325.187,23
CCCC[C@H]1C(=O)OC(=C(CC)CN(C(N)=[NH2+])C(N)=O)C1=O,False,C14H23N4O4+,311.1714,22
CCCC[C@]1(CCC)C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C15H25N4O4+,325.187,23
CCCC[C@]1(CC)C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C14H23N4O4+,311.1714,22
CCCC[C@]1(C)C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C13H21N4O4+,297.1557,21
CCCC(CCC)[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C15H25N4O4+,325.187,23
CCCC(CC)[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C14H23N4O4+,311.1714,22
CCCC(CC)C[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C15H25N4O4+,325.187,23
CCC(CC)C[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C14H23N4O4+,311.1714,22
CCCC(C)CC[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C15H25N4O4+,325.187,23
CCC(C)CC[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C14H23N4O4+,311.1714,22
CCCCCCC[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C15H25N4O4+,325.187,23
