PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000000311 uM,Activity at 0.0000000880 uM,Activity at 0.0000001756 uM,Activity at 0.0000004972 uM,Activity at 0.0000014063 uM,Activity at 0.0000028127 uM,Activity at 0.0000079555 uM,Activity at 0.0000225014 uM,Activity at 0.0000450029 uM,Activity at 0.0001299230 uM,Activity at 0.0003002708 uM,Activity at 0.0008965874 uM,Activity at 0.00268 uM,Activity at 0.00700 uM,Activity at 0.016 uM,Activity at 0.032 uM,Activity at 0.076 uM,Activity at 0.219 uM,Activity at 0.631 uM,Activity at 1.728 uM,Activity at 3.886 uM,Activity at 8.587 uM,Activity at 17.80 uM,Activity at 49.20 uM,Activity at 107.3 uM,Activity at 231.0 uM,Compound QC
11466,144206568,23665728,C1=CC=C(C=C1)C(=O)C2=CC=CC(=C2N)CC(=O)[O-].[Na+],Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00184993-01/122107683,,Inactive,,,,0,,,,,,,4,,-11.0513,,,,,,,,,,,,,,,,,,,,-7.072,-9.0836,-7.152,-7.792,-11.0513,,,QC'd by APAC
11467,144206569,11658860,C[C@H]1CNCCC2=C1C=C(C=C2)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182550-01/122107863,,Inactive,,,,0,,,3.5117,0.5716,-4.8797,1.5,4,0 0 0 0 0,-4.8814,,,,,,,,,,,,,,,,,,,,-1.018,4.1414,-5.7331,-3.312,-4.8814,,,QC'd by APAC
11468,144206570,54671008,CC1=NN=C(O1)C(=O)NC(C)(C)C2=NC(=C(C(=O)N2C)O)C(=O)NCC3=CC=C(C=C3)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00184997-01/122107761,,Inactive,,,,0,,,1.3723,0.8047,-11.0392,2,4,0 0 0 0 0,-10.3058,,,,,,,,,,,,,,,,,,,,1.4486,-6.2562,-4.5051,-10.4493,-10.3058,,,QC'd by APAC
11469,144206571,56031,CC1=C(C(=CC=C1)CC2=CN=CN2)C.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182057-02/122107132,,Inactive,,,,0,,,2.3332,0.8769,-24.1456,-3.8382,4,0 0 0 0 0,-19.288,,,,,,,,,,,,,,,,,,,,-6.2855,-5.7036,-1.5318,-11.2358,-19.288,,,QC'd by APAC
11470,144206572,164457,CC1(OC[C@H](O1)COC(=O)CCC2=CC=C(C=C2)OC[C@H](CNCCNC(=O)N3CCOCC3)O)C.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182709-01/122107856,,Inactive,,,,0,,,4.9549,0.9478,-0.5,-20.5267,4,0 0 0 0 1,-15.1373,,,,,,,,,,,,,,,,,,,,-17.939,0.2815,-2.6308,-1.121,-15.1373,,,QC'd by APAC
11471,144206573,60196338,C[C@@H]1C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O)C)O.C(C(C(=O)O)O)(C(=O)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182556-01/122107462,,Inactive,,,,0,,,4.9549,0.8523,0.5,-9.5742,4,0 0 0 0 0,-1.173,,,,,,,,,,,,,,,,,,,,-7.9785,1.8803,1.7677,-0.2446,-1.173,,,QC'd by APAC
11472,144206574,3395,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)OC(C)OC(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182710-01/122107626,,Inactive,,,,0,,,,,,,4,,14.6672,,,,,,,,,,,,,,,,,,,,-0.217,17.7161,-1.8652,6.7774,14.6672,,,QC'd by APAC
11473,144206575,62581,CCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-],Inconclusive,21,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182056-02/122107126,,Inhibitor,12.5893,59.2855,,21,Partial curve; partial efficacy,-4.9,1.3987,0.9685,-59.3781,-0.0926,-2.2,0 0 0 0 0,-54.9797,,,,,,,,,,,,,,,,,,,,-4.2118,-8.408,-26.7562,-34.7658,-54.9797,,,QC'd by APAC
11474,144206576,60714,CC(CN1CCN(CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])O.[Gd+3],Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182068-03/122108100,,Inactive,,,,0,,,,,,,4,,-1.1108,,,,,,,,,,,,,,,,,,,,0.9379,0.7854,-3.5523,3.8355,-1.1108,,,QC'd by APAC
11475,144206577,68654,C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)[O-])C3=CC=C(C=C3)OS(=O)(=O)[O-].[Na+].[Na+],Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182711-01/122108012,,Inactive,,,,0,,,4.9549,0.4736,-6.5664,1.5,4,0 0 0 0 1,-0.2081,,,,,,,,,,,,,,,,,,,,0.2923,-5.9415,-10.472,-2.0747,-0.2081,,,QC'd by APAC
