PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000097126 uM,Activity at 0.0000291954 uM,Activity at 0.0000923421 uM,Activity at 0.0002769992 uM,Activity at 0.0005418107 uM,Activity at 0.0009682458 uM,Activity at 0.00270 uM,Activity at 0.00558 uM,Activity at 0.00871 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.074 uM,Activity at 0.157 uM,Activity at 0.240 uM,Activity at 0.666 uM,Activity at 1.337 uM,Activity at 2.154 uM,Activity at 5.995 uM,Activity at 11.92 uM,Activity at 19.39 uM,Activity at 53.90 uM,Activity at 109.7 uM,Activity at 143.7 uM,Activity at 406.4 uM,Compound QC
43,90340671,9951825,C1=CC=C(C(=C1)N)S/C(=C(\C(=C(/SC2=CC=CC=C2N)\N)\C#N)/C#N)/N,Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00094462-03/213244601,,Inhibitor,27.2824,67.075,40,Partial curve; partial efficacy,-4.5641,2.3332,0.9715,-87.4343,-20.3593,-2.2,0 0 0 0 0 0 0 0 0 0 0,-80.9577,,,,,,-22.143,-17.0863,,-19.8016,,-14.3304,-19.9484,,-25.7875,-18.784,,-21.3611,-24.8525,,-40.2252,-80.9577,,,,QC'd by SigmaAldrich
44,170465342,60854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263539-01/213244534,,Inhibitor,12.1866,40.2579,21,Partial curve; partial efficacy,-4.9141,0.8,0.8505,-53.0171,-12.7592,-2.2,0 0 0 0 0 0 0 0 0 0 0,-43.2675,,,,,,-8.8215,-7.4449,,-17.2513,,-19.4206,-17.865,,-7.2993,-17.3579,,-23.882,-23.6915,,-39.0262,-43.2675,,,,QC'd by Prestwick Chemical; Inc.
45,170466836,17693,C1CC1C(=O)NC2=CC(=C(C=C2)Cl)Cl,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00160647-02/213244581,,Inhibitor,21.6712,57.4426,21,Partial curve; partial efficacy,-4.6641,2.2526,0.9338,-69.4859,-12.0433,-2.2,0 0 0 0 0 0 0 0 0 0 0,-63.5841,,,,,,-14.6685,-9.0043,,-19.1737,,-15.0016,-6.6705,,-15.5544,-5.168,,-16.9049,-14.1915,,-37.0226,-63.5841,,,,QC'd by Vitas
46,124894250,54675783,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00183044-01/213244574,,Inhibitor,27.2824,41.4835,20,Partial curve; partial efficacy,-4.5641,1.331,0.9257,-55.8573,-14.3738,-2.2,0 0 0 0 0 0 0 0 0 0 0,-46.5477,,,,,,-15.5844,-11.2663,,-10.3115,,-15.877,-14.9472,,-13.6114,-14.988,,-18.6333,-22.7273,,-25.4252,-46.5477,,,,QC'd by Vitas
47,124894552,60810,C1CN(CCN1CCCC(=O)NC2C3=CC=CC=C3CSC4=CC=CC=C24)C5=CC=C(C=C5)F,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00183837-01/213244588,,Inhibitor,9.6802,24.58,10,Complete curve; partial efficacy; poor fit,-5.0141,2.2526,0.8637,-24.08,0.5,-1.4,0 0 0 0 0 0 0 0 0 0 0,-22.5666,,,,,,4.2785,1.873,,4.1094,,-5.7136,0.3925,,-2.0122,-3.7499,,5.3619,-6.9672,,-21.1955,-22.5666,,,,QC'd by Pharmaron
48,170464864,16362,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015802-18/213244646,,Inhibitor,4.324,50.9072,10,Partial curve; partial efficacy; poor fit,-5.3641,0.6,0.9242,-55.3205,-4.4133,-2.4,0 0 0 0 0 0 0 0 1 0 1,23.0583,,,,,,-0.4753,-5.3202,,-8.6219,,-4.3474,-11.6516,,-16.5109,-14.4826,,-20.1753,24.3096,,-43.9052,23.0583,,,,QC'd by NCGCChem
49,170464928,5070,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015882-15/213244641,,Inhibitor,24.3155,77.5017,10,Partial curve; high efficacy; poor fit,-4.6141,2.2526,0.9743,-86.8055,-9.3038,-2.3,0 0 0 0 0 1 0 0 0 0 0,-80.3755,,,,,,-10.2356,-10.8114,,-7.7374,,-2.9693,-9.4022,,38.6831,-14.8497,,-8.3235,-15.7726,,-32.9657,-80.3755,,,,QC'd by Vitas
50,170465739,441140,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00091120-13/213244536,,Inhibitor,30.6114,61.7756,10,Single point of activity,-4.5141,4.095,0.8739,-63.8584,-2.0828,-3,0 0 0 0 0 0 0 0 0 0 0,-58.9797,,,,,,-4.0797,-8.8028,,11.8485,,-5.6339,-2.7375,,-7.7672,-7.5431,,-0.7121,7.9312,,-9.7287,-58.9797,,,,QC'd by Prestwick
51,174006924,3606,CCC(C1=CC=C(C=C1)O)C(CC)C2=CC=C(C=C2)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00094818-08/213244634,,Inhibitor,19.3145,30.6857,10,Partial curve; partial efficacy; poor fit,-4.7141,0.4,0.7566,-38.0426,-7.3569,-2.4,0 0 0 0 0 0 0 0 0 0 0,-30.0355,,,,,,-3.2141,-5.1524,,-10.3601,,-14.4306,-15.0924,,-12.3333,-14.2513,,-10.6268,-17.6578,,-21.7078,-30.0355,,,,QC'd by Microsource
52,174006944,5280569,C1=CC(=C(C2=C1C=CC(=O)O2)O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015349-06/213244632,,Inhibitor,43.2397,40.8173,10,Single point of activity,-4.3641,4.9549,0.7476,-41.066,-0.2487,-3,0 0 0 0 0 0 0 0 0 0 0,-33.1811,,,,,,3.4483,-8.1398,,-9.3497,,-3.9442,2.3038,,9.3063,4.5793,,-2.6809,-3.0929,,3.5686,-33.1811,,,,QC'd by Microsource
53,385219833,7056470,C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@H]2CC[C@]4([C@H]3CCC4=O)C)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00262565-01/213244540,,Inhibitor,31.081,47.6882,10,Single point of activity,-4.5075,4.9549,0.8892,-44.1882,3.5,-3,0 0 0 0 0 0 0 0 0 0 0,-33.1358,,,,,11.1167,,-0.5674,2.2289,,8.9428,,5.7451,-0.4782,,0.4328,2.6295,,0.5465,5.4759,,-33.1358,,,,QC'd by Prestwick Chemical; Inc.
54,90340630,4051,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)[O-].[Na+],Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015671-04/213244605,,Inhibitor,24.3155,40.3741,10,Partial curve; partial efficacy; poor fit,-4.6141,1.6604,0.8032,-33.622,6.7521,-2.4,0 0 0 0 0 0 0 0 0 0 0,-29.8951,,,,,,15.1479,-3.2762,,11.4283,,10.681,8.5262,,4.5004,4.3405,,3.4603,-2.5797,,-4.7941,-29.8951,,,,QC'd by SigmaAldrich
55,90341008,54676228,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015823-14/213244647,,Inhibitor,19.3145,27.6552,10,Partial curve; partial efficacy; poor fit,-4.7141,1.01,0.838,-26.6552,1,-2.4,0 0 0 0 0 0 0 0 0 0 0,-20.546,,,,,,7.9003,-3.1029,,1.3348,,-0.6337,-1.0099,,0.2064,-0.8262,,0.8042,-8.8259,,-10.4414,-20.546,,,,QC'd by SigmaAldrich
56,90341202,5289247,C1=CC2=NC=CN=C2C=C1/C=C\3/C(=O)NC(=O)S3,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00186030-01/213244671,,Inhibitor,38.5375,75.7654,10,Single point of activity,-4.4141,4.095,0.8919,-75.5228,0.2425,-3,0 0 0 0 0 0 0 0 0 0 0,-63.1378,,,,,,14.4371,-10.1679,,-6.5093,,-3.835,6.3218,,0.678,-3.4964,,4.1731,0.4218,,-3.6191,-63.1378,,,,QC'd by SigmaAldrich
57,144206821,3035267,CCOC(=O)OCC/C(=C(\C)/N(CC1=CN=C(N=C1N)C)C=O)/SC(=O)OCC.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00183026-01/213244633,,Inactive,,,0,,-8.0141,1,0.6642,-12.6673,-0.3764,4,0 0 0 0 0 0 0 0 0 0 0,-12.5968,,,,,,-2.4012,-1.147,,-10.0789,,-5.2219,-12.6479,,-16.3894,-9.1117,,-9.357,-13.3243,,-14.651,-12.5968,,,,QC'd by Pharmaron
58,144207074,60854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00186050-01/213244642,,Inactive,,,0,,-5.2141,1.6266,0.6881,-28.1613,-8.0858,4,0 0 0 0 0 0 0 0 0 0 0,-22.8619,,,,,,-18.561,-9.9049,,-6.3952,,-3.4048,-6.546,,-5.1735,-5.8543,,-13.7222,-14.59,,-33.0511,-22.8619,,,,QC'd by SigmaAldrich
59,144212140,520098,CCC(C)C1=NC=CN=C1OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00256160-01/213244549,,Inactive,,,0,,-4.4029,4.9549,0.5712,-25.665,-14.1263,4,0 0 0 0 0 0 0 0 0 0 0,-25.5541,,,,,,,-20.2397,-11.0579,,-16.0067,,-14.7245,-13.0812,,-11.3576,-18.3443,,-10.9097,-10.522,,-19.1603,-25.5541,,,QC'd by SIGMA
60,170465966,6321253,CCN(CC)C(=O)N[C@H]1CN([C@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00179663-03/213244675,,Inactive,,,0,,-8.3141,0.3,0.3586,-2.4294,-25.0314,4,0 0 0 0 0 0 0 0 0 0 1,-19.3877,,,,,,-19.1928,-18.4313,,-3.0961,,-7.5429,-15.8533,,-12.5771,-2.9999,,-0.3579,-8.6504,,-7.2142,-19.3877,,,,QC'd by Tocris
61,170466202,65684,CC1=CC2=C(C=C1)NC3C2CN(CC3)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263512-01/213244609,,Inactive,,,0,,-6.6753,1.8079,0.839,-12.2496,2.5,4,0 0 0 0 0 0 0 0 0 0 0,-10.7736,,,,,7.0877,,3.3755,1.9408,,-0.0858,0.1824,,-1.5807,-5.8417,,-18.1247,-11.7986,,-8.7983,-10.7736,,,,,QC'd by Vitas
62,170466842,1623625,CCCCC/C(=C\C1=CC=CC=C1)/C=O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00274076-01/213244638,,Inactive,,,0,,-7.7641,4.9549,0.6707,-11.0112,3,4,0 0 0 0 0 0 0 0 0 0 0,-14.3077,,,,,,3.2966,-0.9639,,5.8775,,-11.5609,-4.8346,,-3.5307,-13.4364,,-15.426,-15.277,,-7.6016,-14.3077,,,,QC'd by SIGMA
63,174007190,71815,CC1=NC=C(N1CC(C)O)[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00095158-05/213244626,,Inactive,,,0,,-4.8641,4.9549,0.3862,5.5,-4.9412,4,0 0 0 0 0 0 0 0 0 0 0,5.6081,,,,,,-5.5887,-13.2844,,-1.2397,,-5.6193,-3.453,,5.7264,-11.9075,,-3.9906,-4.7955,,4.0402,5.6081,,,,QC'd by Microsource
64,174007262,71729980,C1C[C@@H]([C@@H](C1)C(=O)O)C(=O)C2=CC=C(C=C2)C3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00346522-01/213244577,,Inactive,,,0,,-4.8141,4.9549,0.6438,-16.4435,2,4,0 0 0 0 0 0 0 0 0 0 0,-16.6196,,,,,,-1.0221,-10.8129,,1.1896,,3.9862,1.3854,,7.5421,5.5229,,4.7191,5.7146,,-11.7914,-16.6196,,,,QC'd by Selleck
65,174007450,73265409,CC1=N[C@@]2([C@@H](O1)C[C@@H]3[C@@]2(C[C@@H]([C@@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)C(=O)COC(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263521-02/213244624,,Activator,0.1086,36.4521,0,Complete curve; partial efficacy; poor fit,-6.9641,0.3,0.6484,32.4521,-4,1.4,0 0 0 0 0 0 0 0 0 0 0,34.6557,,,,,,4.3022,0.6232,,8.1354,,12.0284,15.9352,,11.7828,20.7118,,34.2413,12.9275,,19.9629,34.6557,,,,QC'd by Selleck
66,26754887,5283141,CCCCC[C@@H](/C=C/C=C/C/C=C\CCCC(=O)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00161325-01/213244662,,Inactive,,,0,,-10.6652,0.3,0.3659,-2,-26.5793,4,0 0 0 0 0 0 0 0 0 0 0,4.115,-15.1643,-14.6445,-18.816,1.0082,,-10.9972,-3.2282,,-5.8804,-9.5143,,-4.7005,-10.5584,,4.115,,,,,,,,,,QC'd by BIOMOL
67,29215484,72941688,CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@@H]2CCCC[C@H]2C[C@H]1C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00159509-02/213244547,,Activator,0.0022,22.5852,0,Complete curve; partial efficacy; poor fit,-8.6641,2.7202,0.8232,3.5,-19.0852,1.4,0 0 0 0 0 0 0 0 0 0 1,-6.4002,,,,,,-16.7376,-3.956,,9.8873,,-0.8875,2.7758,,4.3299,1.3476,,5.636,2.8234,,1.5029,-6.4002,,,,QC'd by Enamine
68,385219834,5282347,CC1=C(C2=C(CC[C@@](O2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C(=C1O)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00253538-02/213244552,,Inactive,,,0,,-7.164,0.4,0.3643,-21.6801,-10.9149,4,0 0 0 0 0 0 0 0 0 0 0,-18.6162,,,-13.603,-8.2624,,-11.3647,-17.9268,,-13.2568,-17.3607,,-13.4034,-11.5412,,-26.8167,,-18.518,-18.6162,,,,,,,QC'd by Cayman
69,385219835,5053503,CC(O)(P(=O)(O)[O-])P(=O)(O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00179380-03/213244546,,Inactive,,,0,,-6.7141,3.99,0.5356,-16.0933,-11.1225,4,0 0 0 0 0 0 0 0 0 0 1,-11.5975,,,,,,-15.4198,-12.1147,,-9.1217,,-8.0188,-10.0349,,-14.3693,-18.8278,,-15.4307,-16.5432,,-13.2596,-11.5975,,,,QC'd by Microsource
70,50125937,3045381,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)C[C@H]3CC4=CC(=C(C=C34)OC)OC.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00181343-01/213244608,,Inactive,,,0,,-7.3641,4.9549,0.6626,-4.113,9,4,0 0 0 0 0 0 0 0 0 0 0,-0.473,,,,,,7.5323,7.8105,,9.8253,,10.3941,-8.3554,,-10.5108,-3.7159,,-7.2595,6.4086,,-3.7309,-0.473,,,,QC'd by APAC
71,90341290,11401613,C1=CC=C2C(=C1)C=CC3=C2C=CN=C3Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00093606-05/213244545,,Inactive,,,0,,,,,0,0,4,,-21.7492,,,,,,-14.2994,-16.978,,-17.9255,,-7.9475,-6.9993,,-10.8978,-13.3675,,-3.1924,-11.9902,,-12.5101,-21.7492,,,,QC'd by SigmaAldrich
72,90341836,135409384,CC(C([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00162357-02/213244655,,Inactive,,,0,,-8.0141,1.2876,0.5383,2,-16.8751,4,0 0 0 0 0 0 0 0 0 0 0,4.4181,,,,,,-16.1459,-13.8549,,-7.3882,,-3.8318,0.3593,,10.287,-4.1558,,-11.9204,3.4389,,11.8359,4.4181,,,,QC'd by SigmaAldrich
