starter_Canonical_SMILES,Canonical_SMILES,source_DataBase,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@]1(C)OC=O,XanthosineOnly_gen3,5.291394454276235,0.4763306913233187,4.35778629928253,6.225002609269939,5.112173040658708e-06,5.956585647622499e-07,4.387465360809326e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@]2(CO2)[C@@H]1O,InosineOnly_gen3,5.291375324940274,0.475563330597799,4.359271196968589,6.22347945291196,5.11239822111441e-06,5.977513244828624e-07,4.372489779736679e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)OC(CC)[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O,InosineOnly_gen3,5.291369300573838,0.4772438282884055,4.355971397128563,6.226767204019113,5.1124691388330334e-06,5.932432370549417e-07,4.4058387964563576e-05
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,COC[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)OC[C@@H](OS(=O)(=O)O)[C@H]1O,XanthosineOnly_gen3,5.291363346631227,0.4735682143465889,4.363169646511913,6.219557046750541,5.112539228502084e-06,6.031744727414593e-07,4.333415710411924e-05
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(C)(O)O[C@H]1[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@]2(CO2)[C@H]1O,GuanosineOnly_gen3,5.291360317615039,0.4765555403756015,4.35731145847886,6.225409176751218,5.112574886376486e-06,5.951011962235642e-07,4.3922650693157095e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)OC(C)[C@H]1O[C@@H]2[C@H](Oc3nc4c(=O)[nH]cnc4n32)[C@@H]1O,InosineOnly_gen3,5.2913534117295935,0.4755414865962679,4.359292098000909,6.223414725458278,5.112656184064311e-06,5.978404202604524e-07,4.372279352584313e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(C)(O)O[C@H]1[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,InosineOnly_gen3,5.29134215121613,0.4763293164116617,4.357736691049273,6.224947611382986,5.112788748217352e-06,5.957340021398289e-07,4.387966557222347e-05
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)OC[C@H]1O[C@@H](n2cnc3c4nc(nc32)[nH]4)[C@H](O)[C@@H]1OP(=O)(O)O,GuanosineOnly_gen3,5.291318382178464,0.4783558204675549,4.353740974062057,6.228895790294872,5.11306857998826e-06,5.903427169246956e-07,4.428524237557085e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Cc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](C=O)[C@H]3O)c2n1,AdenosineOnly_gen3,5.291312722735017,0.4767869333876315,4.356810333295259,6.225815112174775,5.113135210609236e-06,5.945452145054143e-07,4.397336156127428e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)(O)O[C@H]1[C@H]2Oc3nc4c(=O)[nH]cnc4n3[C@@H]2O[C@@H]1CO,InosineOnly_gen3,5.29131088464901,0.4767912484742756,4.35680003763943,6.22582173165859,5.113156851229973e-06,5.945361525610514e-07,4.397440403356347e-05
