PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000967719 uM,Activity at 0.0002167586 uM,Activity at 0.0005263378 uM,Activity at 0.0009674074 uM,Activity at 0.00173 uM,Activity at 0.00290 uM,Activity at 0.00518 uM,Activity at 0.00878 uM,Activity at 0.026 uM,Activity at 0.041 uM,Activity at 0.078 uM,Activity at 0.140 uM,Activity at 0.235 uM,Activity at 0.419 uM,Activity at 0.711 uM,Activity at 1.384 uM,Activity at 2.154 uM,Activity at 6.280 uM,Activity at 11.32 uM,Activity at 19.05 uM,Activity at 33.84 uM,Activity at 57.16 uM,Activity at 114.3 uM,Activity at 190.5 uM,Activity at 571.4 uM,Compound QC
31,170464727,460612,C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00090757-06/250075109,,Inhibitor,0.1524,100.322,,92,Complete curve; high efficacy,-6.8171,0.7,0.987,-103.708,-3.3858,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.5307,,,,-0.7382,,-14.3742,,-15.3124,-30.0496,,-41.5206,,-52.8589,,-82.7226,,-93.7299,-98.6068,,-98.7697,,-98.5307,,,,QC'd by Microsource
32,170465374,3386,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00015428-15/250075103,,Inhibitor,0.121,93.851,,92,Complete curve; high efficacy,-6.9171,1.7137,0.9958,-97.851,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.92,,,,-2.5102,,0.8373,,-12.1243,-9.6831,,-33.2926,,-73.7476,,-94.0733,,-97.7837,-97.7341,,-98.2439,,-97.92,,,,QC'd by Vitas
33,363676678,5494449,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00168110-05/250075194,,Inhibitor,0.2152,107.684,,92,Complete curve; high efficacy,-6.6671,0.4,0.9934,-109.529,-1.8452,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.1004,,,,-15.2877,,-15.3868,,-27.7288,-30.632,,-47.5164,,-54.9973,,-70.3664,,-76.1267,-87.5766,,-96.98,,-97.1004,,,,QC'd by Selleck
34,363678333,11655534,CS(=O)(=O)N1CCC(CC1)NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00379060-01/250075081,,Inhibitor,0.0961,91.1743,,92,Complete curve; high efficacy,-7.0171,2.3332,0.9971,-96.9296,-5.7553,-1.1,1 0 0 0 0 0 0 0 0 0 0,-97.9087,,,,-26.4002,,-4.8791,,-3.9627,-14.1435,,-37.289,,-89.4662,,-95.2115,,-96.1993,-95.2656,,-97.0964,,-97.9087,,,,QC'd by MedChem Express
35,384568683,24771867,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00263271-04/250074792,,Inhibitor,0.1079,97.9239,,92,Complete curve; high efficacy,-6.9671,0.9,0.9956,-94.9239,3,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.8791,,,,0,,0,,-5.8339,-19.5756,,-36.325,,-65.5163,,-79.332,,-88.8184,-86.8166,,-94.0813,,-98.8791,,,,QC'd by Selleck
36,384568700,41867,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00263918-05/250075112,,Inhibitor,0.0961,99.7277,,92,Complete curve; high efficacy,-7.0171,2.3332,0.9992,-97.7277,2,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.1552,,,,1.1807,,1.3719,,0,0,,-34.5406,,-85.8771,,-97.7412,,-98.6582,-98.7148,,-98.5608,,-97.1552,,,,QC'd by Selleck
37,384569077,10029385,C1CCN(CC1)C(=O)N2CCN3C=C(C4=CC(=CC(=C43)C2)F)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00378942-03/250074771,,Inhibitor,0.1524,112.357,,92,Complete curve; high efficacy,-6.8171,0.5,0.9328,-104.357,8,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.2644,,,,0,,0,,3.3401,-29.1258,,-56.0921,,-61.6724,,-58.7471,,-66.9253,-97.8463,,-98.031,,-98.2644,,,,QC'd by ActiveBioChem
38,384569373,86345880,C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C2=NN(C=N2)/C=C(\C3=CN=CN=C3)/C(=O)N,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00508985-02/250075091,,Inhibitor,0.1079,92.8555,,92,Complete curve; high efficacy,-6.9671,3.99,0.9697,-98.521,-5.6654,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.559,,,,-1.3879,,-14.1689,,-26.8472,-10.8196,,-22.8908,,-96.9729,,-97.8545,,-98.359,-97.75,,-98.9166,,-98.559,,,,QC'd by MedChem Express
39,384569445,25167017,CCNCCS(=O)(=O)NC[C@@]1(N(N=C(S1)NC(=O)C(C)(C)C)C(=O)C(C)(C)C)C2=CC=CC=C2,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00510482-01/250074782,,Inhibitor,0.0541,87.8707,,92,Complete curve; high efficacy,-7.2671,4.9549,0.9959,-87.3707,0.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-90.4859,,,,0,,0,,0,0,,-74.2689,,-84.8502,,-86.338,,-93.947,-87.3674,,-83.8661,,-90.4859,,,,QC'd by MedChem Express
40,144206340,5284610,C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2C[C@@H](O[C@@H]([C@@H]2O)C)OC3=CC4=CC5=C(C(=O)[C@H](C(C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7C[C@H]([C@@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@@H]([C@H](O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00181319-01/250075118,,Inhibitor,0.1524,98.0977,,91,Complete curve; high efficacy,-6.8171,4.9549,0.9986,-97.0977,1,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.4011,,,,3.4927,,-1.9844,,0,0,,0,,-89.8194,,-95.7143,,-96.5959,-96.9039,,-96.7056,,-96.4011,,,,QC'd by SIGMA
41,363677462,6918295,CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)[C@H]([C@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)[C@]6(C[C@H]7C[C@H](CN(C7)CC8=C6NC9=CC=CC=C89)C(C)(F)F)C(=O)OC)OC)C,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00346580-02/250074804,,Inhibitor,0.1274,99.5533,,91,Complete curve; high efficacy,-6.8949,1.3723,0.9933,-95.5533,4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.3626,,4.8314,,0.0504,,3.5333,,2.0303,-3.367,,-32.5919,,-58.0703,,-93.6564,,-92.5565,-93.1493,,-95.3626,,,,,,QC'd by Selleck
42,384568027,31703,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00024415-57/250074732,,Inhibitor,0.1524,94.488,,91,Complete curve; high efficacy,-6.8171,3.1925,0.9855,-96.988,-2.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.565,,,,0,,4.8801,,2.6415,-17.9585,,-13.1086,,-78.5561,,-95.3357,,-95.5171,-96.3484,,-96.5667,,-98.565,,,,QC'd by Selleck
43,384568302,220401,CN[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00166035-05/250074762,,Inhibitor,0.171,101.468,,91,Complete curve; high efficacy,-6.7671,2.4064,0.9829,-94.4681,7,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.7582,,,,17.9081,,4.0337,,0,1.0395,,-1.4593,,-64.3408,,-81.7485,,-87.836,-98.7783,,-99.6499,,-98.7582,,,,QC'd by Cayman
44,384568360,60838,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00178697-07/250074783,,Inhibitor,0.171,87.5594,,91,Complete curve; high efficacy,-6.7671,1.331,0.985,-97.4699,-9.9105,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.2753,,,,-23.92,,-4.9254,,-11.2261,-16.484,,-34.0966,,-63.4575,,-84.7796,,-95.905,-97.0721,,-97.0385,,-97.2753,,,,QC'd by Selleck
45,384569249,11488110,C[C@@H](C(F)(F)F)NC1=C(C(=NC2=NC=NN12)Cl)C3=C(C=C(C=C3F)OCCCNC)F,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00480898-01/250075076,,Inhibitor,0.121,88.1532,,91,Complete curve; high efficacy,-6.9171,0.7,0.977,-88.6118,-0.4585,-1.1,0 0 0 0 0 0 0 0 0 0 0,-87.3883,,,,-4.1402,,-1.2154,,-14.5506,-31.6073,,-27.7487,,-54.828,,-75.9613,,-76.4918,-82.5285,,-84.9652,,-87.3883,,,,QC'd by Glixx
46,384569386,44519124,CC(C)NCCN1C2=C(C=C(C=C2)C(=O)C)C3=C1C=CC(=C3)C(=O)C,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00509937-01/250074806,,Inhibitor,0.1358,100.475,,91,Complete curve; high efficacy,-6.8671,0.7,0.9561,-96.4745,4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.2535,,,,0,,0,,-1.2209,-12.0809,,-50.537,,-63.612,,-63.5314,,-69.6911,-94.0343,,-98.6171,,-99.2535,,,,QC'd by ChemGood
47,384569459,11354606,C[C@@H]1C[C@@H]2CC[C@H]3C(=C)C[C@@H](O3)CC[C@]45C[C@@H]6[C@H](O4)[C@H]7[C@@H](O6)[C@@H](O5)[C@@H]8[C@@H](O7)CC[C@@H](O8)CC(=O)C[C@H]9[C@H](C[C@H](C1=C)O2)O[C@@H]([C@@H]9OC)C[C@@H](CN)O,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00510497-01/250075044,,Inhibitor,0.1107,87.0432,,91,Complete curve; high efficacy,-6.9559,1.3443,0.9898,-87.0432,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-93.5948,,-2.7492,3.9936,,-0.299,,-7.119,,-3.7177,-19.4876,,-52.5109,,-74.7709,,-77.8519,-83.8018,,-93.5948,,,,,,,QC'd by MedChem Express
48,405558547,9854073,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00346704-03/250075105,,Inhibitor,0.1358,84.0334,,91,Complete curve; high efficacy,-6.8671,1.21,0.9393,-90.5294,-6.496,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.9221,,,,-2.08,,-13.4272,,-10.8391,-20.7577,,-21.2515,,-77.5323,,-72.1367,,-78.7113,-81.1241,,-98.6121,,-99.9221,,,,QC'd by APExBIO
49,405558580,6438325,C[C@H](/C=C/C(C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C\3/CC(=C)[C@H](C[C@@H]3O)O)C,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00182058-01/250075123,,Inhibitor,0.4294,116.754,,91,Complete curve; high efficacy,-6.3671,0.4,0.9764,-113.649,3.1057,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.692,,,,-0.7453,,-15.3779,,-18.7662,-28.0917,,-33.2749,,-43.1669,,-55.8329,,-84.2397,-85.9267,,-87.0048,,-99.692,,,,QC'd by Axon Medchem
50,170465065,122824,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00178860-06/250075208,,Inhibitor,0.3411,95.1728,,90,Complete curve; high efficacy,-6.4671,3.0654,0.989,-98.1728,-3,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.1645,,,,0,,4.8593,,-3.5316,-1.949,,-16.9924,,-24.7176,,-90.354,,-96.911,-97.242,,-98.8688,,-99.1645,,,,QC'd by Microsource
51,174006281,3036703,C1CN(CCN1C[C@H](COC2=CC=CC3=C2C=CC=N3)O)C4C5=CC=CC=C5[C@H]6[C@H](C6(F)F)C7=CC=CC=C47,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00274062-01/250074868,,Inhibitor,0.171,95.8062,,90,Complete curve; high efficacy,-6.7671,0.3,0.8288,-91.8062,4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-88.4453,,,,0,,-12.1859,,-32.8599,-37.3306,,-57.8241,,-44.3699,,-40.0967,,-52.8961,-61.596,,-73.3625,,-88.4453,,,,QC'd by Selleck
52,174007010,11248978,C1CN2C=C(C3=CC=CC(=C32)CN1C(=O)N4CCOCC4)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00345024-01/250074583,,Inhibitor,0.2152,95.0828,,90,Complete curve; high efficacy,-6.6671,0.4,0.8289,-91.0828,4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.9385,,,,0,,-1.743,,-0.4893,-37.2298,,-49.7152,,-55.4848,,-54.0893,,-51.3719,-50.9996,,-78.7936,,-97.9385,,,,QC'd by NCGCChem
53,225144306,50989217,C[C@@H]1OC[C@@H]2[C@H](O1)[C@@H]([C@@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00179504-05/250074796,,Inhibitor,0.3827,99.7027,,90,Complete curve; high efficacy,-6.4171,1.6259,0.9943,-100.703,-1,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.4576,,,,0,,0,,3.6961,-3.367,,-15.6964,,-28.0024,,-74.8432,,-98.9546,-99.6129,,-99.9034,,-98.4576,,,,QC'd by Prestwick
54,363678425,42627755,C1CC1C2=CC(=NN2)NC3=NC(=NC=C3)NC4=CC5=C(C=C4)N=CN5,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00379217-03/250074642,,Inhibitor,0.2415,98.893,,90,Complete curve; high efficacy,-6.6171,2.4064,0.9974,-96.893,2,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.0726,,,,0,,0.2237,,0,4.4638,,-0.2622,,-48.9295,,-86.8417,,-95.6583,-95.8547,,-97.7113,,-99.0726,,,,QC'd by Bio Vision
55,384567878,4122,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00015647-31/250074801,,Inhibitor,0.1524,79.4888,,90,Complete curve; high efficacy,-6.8171,1.6266,0.97,-88.6496,-9.1608,-1.1,0 0 0 0 0 0 0 0 0 0 0,-83.6293,,,,-4.3007,,-5.7197,,-10.0523,-29.2132,,-19.5068,,-65.0411,,-82.5445,,-90.1131,-88.5799,,-90.6438,,-83.6293,,,,QC'd by MedChem Express
56,384568306,6256,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00166323-05/250075060,,Inhibitor,0.2415,91.6427,,90,Complete curve; high efficacy,-6.6171,1.3443,0.9974,-97.6482,-6.0055,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.236,,,,-5.4213,,-8.3595,,-7.3467,-9.9242,,-19.0265,,-54.4692,,-76.7175,,-92.252,-96.5813,,-98.0128,,-99.236,,,,QC'd by Selleck
57,384568348,60750,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00168784-10/250074496,,Inhibitor,0.304,99.3702,,90,Complete curve; high efficacy,-6.5171,3.0654,0.9992,-97.8702,1.5,-1.1,1 0 0 0 0 0 0 0 0 0 0,-98.2633,,,,-25.3402,,4.3222,,0,1.0776,,0,,-30.3474,,-92.2101,,-95.9526,-96.8732,,-97.2073,,-98.2633,,,,QC'd by APExBIO
58,384568772,25206185,C1CC1C(=O)NC2=NC3=C(S2)N=C(C=C3)OC4=CC(=C(C=C4)F)NC(=O)C5=C(C(=CC=C5)C6(CC6)C#N)Cl,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00345858-03/250074672,,Inhibitor,0.304,96.8103,,90,Complete curve; high efficacy,-6.5171,1.4641,0.9842,-100.81,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-100.01,,,,-7.3435,,-4.6893,,0,-11.5349,,-18.8587,,-32.6336,,-90.1108,,-95.9265,-97.2074,,-99.0811,,-100.01,,,,QC'd by SynKinase
59,384568876,23635314,C1COCCN1CCOC2=CC=C(C=C2)C3=CN=C(C=C3)CC(=O)NCC4=CC=CC=C4,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00346644-04/250074488,,Inhibitor,0.171,82.6595,,90,Complete curve; high efficacy,-6.7671,3.132,0.9528,-86.6595,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-93.7873,,,,-14.2431,,-23.1181,,-9.4681,0,,-12.2416,,-66.5592,,-81.9016,,-77.952,-85.3935,,-90.5645,,-93.7873,,,,QC'd by APExBIO
60,384569060,65411,CC(C)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@H]5C[C@H]7[C@]4(C2=O)O7)COC6=O)C,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00378635-03/250074820,,Inhibitor,0.3411,97.4458,,90,Complete curve; high efficacy,-6.4671,3.132,0.9978,-98.4458,-1,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.539,,,,0,,1.1688,,-6.9607,0,,0,,-25.9855,,-89.5455,,-98.204,-98.2493,,-97.9857,,-97.539,,,,QC'd by MedChem Express
61,384569187,9810709,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(/C(=N/NC(=O)CCCCCN6C(=O)C=CC6=O)/CO)O)N)O,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00390536-02/250074846,,Inhibitor,0.3411,94.6769,,90,Complete curve; high efficacy,-6.4671,2.7202,0.9888,-97.1769,-2.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.3629,,,,-16.3663,,2.1746,,0,0.5325,,-3.3543,,-25.6603,,-86.221,,-94.8551,-96.4179,,-97.9571,,-99.3629,,,,QC'd by MedChem Express
62,384569352,91801204,C1CC(CCC1O)OC2=CC=CC3=CN=C(N=C32)NC4=CC5=C(C=C4)N=CN5,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00507888-01/250074610,,Inhibitor,0.3411,95.464,,90,Complete curve; high efficacy,-6.4671,1.331,0.9658,-99.464,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.6746,,,,-14.3582,,1.3425,,0,-5.2683,,-32.5072,,-28.8897,,-79.1694,,-95.2535,-95.233,,-95.5114,,-98.6746,,,,QC'd by Selleck
63,124939249,135400182,CC1=NC2=C(C=C(C=C2)CN(C)C3=CC=C(S3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)N1,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00229704-01/250074740,,Inhibitor,0.304,90.1336,,89,Complete curve; high efficacy,-6.5171,1.9673,0.9914,-91.6336,-1.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.8588,,,,-10.101,,0,,0,3.0026,,-7.8004,,-31.2502,,-81.772,,-88.5816,-90.1148,,-89.3524,,-94.8588,,,,QC'd by Waterstone
64,170464737,35370,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],Active,89,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00023945-12/250075128,,Inhibitor,0.4294,96.6511,,89,Complete curve; high efficacy,-6.3671,1.2221,0.9933,-97.6511,-1,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.61,,,,-9.9434,,2.3473,,2.0765,-0.9081,,-13.6166,,-31.4923,,-64.4627,,-84.438,-94.877,,-97.4562,,-96.61,,,,QC'd by Vitas
65,377020261,25168990,C[C@H]1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=O)(=O)C4CC4)C5=CC=C(C=C5)NC(=S)NCCO,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00475744-02/250074847,,Inhibitor,0.304,89.5676,,89,Complete curve; high efficacy,-6.5171,1.331,0.9891,-85.5676,4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-86.4319,,,,3.5737,,3.1306,,0,0.097,,0.5021,,-41.3608,,-59.5286,,-78.1876,-85.2792,,-85.7045,,-86.4319,,,,QC'd by Tocris
66,384568075,2888648,CS(=O)(=O)N(CC1=CC=CO1)CC(CN2C3=CC=CC=C3C4=CC=CC=C42)O,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00079434-04/250075154,,Inhibitor,0.4294,91.0334,,89,Complete curve; high efficacy,-6.3671,4.9549,0.9893,-95.0334,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.1712,,,,-16.04,,-2.1136,,-5.4275,2.827,,0,,-9.0866,,-89.1344,,-91.6428,-94.8681,,-96.456,,-97.1712,,,,QC'd by Tocris
67,384568181,5281078,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)OCCN3CCOCC3)O,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00159459-08/250074967,,Inhibitor,0.4294,89.2395,,89,Complete curve; high efficacy,-6.3671,2.3332,0.9845,-93.2395,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.3369,,,,-18.0291,,-3.1659,,-0.3106,4.4219,,-3.6811,,-22.1905,,-70.8024,,-90.4057,-92.5144,,-93.3729,,-95.3369,,,,QC'd by Microsource
68,384568558,25022668,C1CCC(C1)C2=C(C=CC(=C2)C3=CNC4=C3C=C(C=N4)C5=CC=CC=C5)C(=O)O,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00250410-11/250074894,,Inhibitor,0.5406,103.039,,89,Complete curve; high efficacy,-6.2671,0.9,0.9876,-103.039,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.6558,,,,0,,0,,-4.9035,0,,-22.452,,-35.0235,,-48.5182,,-84.4151,-96.3352,,-98.6963,,-98.6558,,,,QC'd by MedChem Express
69,384568767,25125014,CC(C)C1=C2N=C(C=C(N2N=C1)NCC3=CC=CC=C3)N[C@@H](CO)[C@@H](CO)O,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00345852-03/250075087,,Inhibitor,0.4818,85.431,,89,Complete curve; high efficacy,-6.3171,3.132,0.9824,-97.5988,-12.1678,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.2314,,,,-6.8065,,-7.3128,,-17.4969,-26.9039,,-10.7099,,-19.3344,,-79.5875,,-97.9908,-96.6684,,-96.5782,,-97.2314,,,,QC'd by SynKinase
70,384569082,59757974,CC(C)C1=NOC(=C1)CNC2=NC(=CC(=N2)N3CCN(CC3)C)NC4=NNC(=C4)C5CC5,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-VSVG-PP-HEK293ACE2-f4-mipe-npc/NCGC00378978-02/250075096,,Inhibitor,0.5406,106.879,,89,Complete curve; high efficacy,-6.2671,0.6,0.981,-103.379,3.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.897,,,,-4.792,,4.9761,,-6.587,-10.2832,,-15.863,,-44.9779,,-55.3956,,-70.4709,-75.0823,,-97.5058,,-97.897,,,,QC'd by ChemieTek
