RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,0.000914495,0.00155464,0.00263993,0.00459575,0.0064826,0.00912159,0.0137872,0.0269967,0.0413617,0.0569821,0.0820943,0.124085,0.188912,0.246899,0.423153,0.738849,1.11677,1.70021,2.22209,3.66561,6.6433,10,13.3629,20,40,
191,363678190,46937290,CC(C)(C[C@@](CC1=CC2=C(N1)C=NC=C2)(C(F)(F)F)O)C3=C(C=CC(=C3)F)O,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00378773-01/250023386,,Activator,6.3096,40.5177,,21,Partial curve; partial efficacy,-5.2,2.3332,0.8834,38.1489,-2.3688,2.2,0 0 0 0 0 0 0 0,35.4401,,,,,,-3.0176,,-6.974,,,4.1576,,,-6.3034,,5.7334,,,-5.9011,,20.5868,,,35.4401,,QC'd by MedChem Express
192,363680512,53364507,CC1=NC2=CC=CC=C2C(=C1)N3CCN(CC3)C(=O)OC4=NC=C(C=C4)C5=CC=CC=C5,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00386928-01/250023539,,Activator,11.2202,63.7071,,21,Partial curve; partial efficacy,-4.95,2.4729,0.9724,66.1695,2.4624,2.2,0 0 0 0 0 0 0 0,54.0877,,,,,,-0.4512,,4.7103,,,-1.2814,,,3.3387,,1.895,,,9.4026,,14.8168,,,54.0877,,QC'd by Evotec
193,363680677,644335,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)CC3=CC4=CC=CC=C4C=C3)C5=CC=C(C=C5)O,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00387818-01/250023168,,Activator,10,39.1845,,21,Partial curve; partial efficacy,-5,2.7202,0.9486,39.7926,0.6081,2.2,0 0 0 0 0 0 0 0,34.5302,,,,,,6.7991,,-2.8266,,,1.1077,,,-0.1528,,0.4584,,,-0.382,,11.0008,,,34.5302,,QC'd by ChemieTek
194,363680887,409823,COC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(C4CCCCN4)O,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00390402-02/250023033,,Activator,4.4668,32.9397,,21,Complete curve; partial efficacy,-5.35,4.095,0.9976,32.5,-0.4397,1.2,0 0 0 0 0 0 0 0,32.3465,,,,,,0.3451,,-1.6164,,,-0.4177,,,-0.1271,,0.5267,,,1.6891,,27.4428,,,32.3465,,QC'd by SynKinase
195,363680961,91754554,CC1=C(C=C(C=N1)C2=CC=C(C=C2)N3CCNCC3)C4=CC(=C(C(=C4)OC)OC)OC,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00390660-02/250023475,,Activator,10,42.5772,,21,Partial curve; partial efficacy,-5,2.4729,0.8568,41.7169,-0.8603,2.2,0 0 0 0 0 0 0 0,35.386,,,,,,11.0846,,-5.0919,,,-2.886,,,-0.9375,,-5.7169,,,0.8272,,10.6066,,,35.386,,QC'd by Glixx
196,363681056,72201050,CN(CCC1=CC=C(C=C1)NC2=NC=C(S2)C3=CN=CC=C3)CC4=CC=CC=C4,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00408813-01/250023399,,Activator,7.9433,43.4703,,21,Partial curve; partial efficacy,-5.1,2.4064,0.947,44.4238,0.9535,2.2,0 0 0 0 0 0 0 0,39.6312,,,,,,5.3311,,-0.3353,,,3.8894,,,1.6094,,1.207,,,-3.7888,,19.7485,,,39.6312,,QC'd by Glixx
197,363681264,115234,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC(=O)NCCN(C)C)C)C,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00485229-01/250022974,,Activator,11.2202,45.478,,21,Partial curve; partial efficacy,-4.95,1.9887,0.9879,45.9449,0.4669,2.2,0 0 0 0 0 0 0 0,35.1342,,,,,,1.1449,,-2.1109,,,-0.1073,,,1.0733,,1.8605,,,3.864,,11.5206,,,35.1342,,QC'd by SIGMA
198,384568605,49864204,CCCCCCCC1=CC=C(C=C1)CCC2=C(C(=CC=C2)O)C(=O)O,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00263121-03/250023571,,Activator,6.3096,38.8362,,21,Partial curve; partial efficacy,-5.2,1.21,0.9504,40.9253,2.0891,2.2,0 0 0 0 0 0 0 0,36.0282,,,,,,1.2174,,0.875,,,-0.3424,,,5.2501,,9.6253,,,9.4731,,19.8973,,,36.0282,,QC'd by Axon Medchem
199,384569146,9863341,C/C(=C\C(=O)O)/C=C/[C@@H]1C[C@]1(C)C2=CC3=C(C=C2)C(CCC3(C)C)(C)C,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00386776-01/250023230,,Activator,8.9125,47.544,,21,Partial curve; partial efficacy,-5.05,2.7202,0.908,48.9022,1.3582,2.2,0 0 0 0 0 0 0 0,44.3539,,,,,,-1.4744,,9.523,,,7.4415,,,-0.2949,,-3.8682,,,-2.3417,,16.1839,,,44.3539,,QC'd by Axon Medchem
200,384569224,70980530,C[C@@H]1CN([C@H](CN1)CN2CCOC[C@H]2C)CC(=O)N3CC(C4=C3C=C(C=N4)CC5=CC=C(C=C5)F)(C)C,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00420704-02/250023187,,Activator,10,46.0703,,21,Partial curve; partial efficacy,-5,2.1876,0.988,46.6735,0.6032,2.2,0 0 0 0 0 0 0 0,38.4054,,,,,,3.5609,,-0.1911,,,0.7817,,,-1.5807,,1.6502,,,2.4492,,14.0177,,,38.4054,,QC'd by WuXi
201,384569453,9864881,CC1=CC(=CC(=C1OC(C)(C)C(=O)O)C)/C=C/C(=O)C2=CC=C(C=C2)SC,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00510491-01/250023622,,Activator,19.9526,55.7238,,21,Partial curve; partial efficacy,-4.7,4.095,0.9925,57.7238,2,2.2,0 0 0 0 0 0 0 0,53.448,,,,,,,,5.1585,,0.9314,,,0.1433,,1.8986,,,2.83,,2.221,,,11.4634,,53.448,QC'd by MedChem Express
202,406861841,5717801,C1=CC=C(C=C1)/C=C/C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=CC=CC3=C2N=CC=C3,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00159554-09/250023518,,Activator,8.9125,40.2745,,21,Partial curve; partial efficacy,-5.05,2.3332,0.9902,40.7999,0.5254,2.2,0 0 0 0 0 0 0 0,35.4629,,,,,,1.8228,,3.0139,,,0.2707,,,0.2346,,-0.8121,,,1.4257,,14.492,,,35.4629,,QC'd by SIGMA
203,406861850,1117189,CC1=C(SC(=N1)NC(=O)C)C2=CSC(=N2)NC3=CC=CC=C3OC,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00282602-03/250023329,,Activator,8.9125,43.1543,,21,Partial curve; partial efficacy,-5.05,1.4163,0.9849,43.598,0.4437,2.2,0 0 0 0 0 0 0 0,33.887,,,,,,-0.2798,,-1.7136,,,0.4546,,,3.1474,,0.9442,,,6.9593,,16.2616,,,33.887,,QC'd by SIGMA
204,124896673,53315437,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCCCC3)NC4CCN(CC4)CC5=CC=CC=C5)OC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00185849-01/250023638,,Activator,3.9811,75.2818,,10,Single point of activity,-5.4,4.095,0.976,77.5148,2.2329,3,0 0 0 0 0 0 0 1,-11.6783,,,,,,2.9017,,3.2241,,,-0.7881,,,-2.7226,,9.8513,,,7.8094,,69.4609,,,-11.6783,,QC'd by UNC
205,137275921,25105690,CN1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC(=C(C=C4C(=N3)NCCN5CCOCC5)OC)OC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00263017-01/250023062,,Activator,11.2202,64.8697,,10,Single point of activity,-4.95,4.9549,0.9624,68.2605,3.3908,3,0 0 0 0 0 0 0 0,64.7339,,,,,,-0.1526,,7.9344,,,11.0624,,,2.861,,4.2724,,,-2.1743,,7.5148,,,64.7339,,QC'd by NCGCChem
206,137276077,53348204,C1=CC=C2C(=C1)C=CC3=C2C=C(N3)C(=O)C4=CC=C(C=C4)N,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00263233-01/250023069,,Activator,19.9526,30.8664,,10,Partial curve; partial efficacy; poor fit,-4.7,4.9549,0.9047,26.5,-4.3664,2.4,0 0 0 0 0 0 0 0,25.7868,,,,,,,,-4.7683,,-2.6702,,,-1.9836,,0.6866,,,-5.3023,,-11.1387,,,-0.9155,,25.7868,QC'd by NCGCChem
207,144206260,13985,CCCCCCOC1=CC=C(C2=CC=CC=C21)C(=N)N(CCCC)CCCC.Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00181091-01/250023170,,Activator,4.4668,58.8224,,10,Single point of activity,-5.35,4.9549,0.9674,59.872,1.0497,3,0 0 0 0 0 0 0 1,-16.1192,,,,,,1.2987,,0.4966,,,7.6776,,,-4.1253,,0.8785,,,0.5348,,52.6356,,,-16.1192,,QC'd by NCI
208,144206268,192160,CC1=CC(=C2[C@H]3[C@H]4[C@](CC[C@@H]5C4(CCCC5(C)C)CO3)(OC2=C1)C)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00181099-01/250023037,,Activator,12.5893,106.897,,10,Single point of activity,-4.9,4.9549,0.9979,107.347,0.4501,3,0 0 0 0 0 0 0 0,97.7661,,,,,,1.9797,,0.4177,,,-1.7617,,,1.8344,,1.3258,,,-2.125,,5.5757,,,97.7661,,QC'd by NCI
209,144206322,166642339,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F)CN(C)C.C(=C/C(=O)O)\C(=O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00181168-01/250023127,,Activator,10,86.6324,,10,Single point of activity,-5,4.5045,0.992,83.3277,-3.3047,3,0 0 0 0 0 0 0 0,79.8086,,,,,,-7.3372,,-0.2439,,,0.4691,,,-3.8469,,-3.4716,,,-5.9111,,9.4389,,,79.8086,,QC'd by NCI
210,144206752,3089,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)S(=O)(=O)N(C)C)N(C)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00249414-01/250023457,,Activator,8.9125,33.7222,,10,Single point of activity,-5.05,3.5117,0.8258,32.5,-1.2222,3,0 0 0 0 0 0 0 0,30.8886,,,,,,-0.5912,,-7.6852,,,8.0547,,,-6.5768,,3.4731,,,-4.286,,7.4635,,,30.8886,,QC'd by NCGCChem
211,144206802,5282215,C1CCNC2=C(C1)C=CC(=C2)C(=O)CCC3CCN(CC3)CC4=CC=CC=C4.C(=C/C(=O)O)\C(=O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00183005-01/250023516,,Activator,12.5893,81.9044,,10,Single point of activity,-4.9,4.9549,0.9972,81.6107,-0.2937,3,0 0 0 0 0 0 0 0,74.0119,,,,,,-2.292,,-0.8121,,,0.8121,,,0.2707,,-2.3281,,,1.5701,,3.447,,,74.0119,,QC'd by Pharmaron
212,144207139,5284620,C[C@@H]1C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)OC(=O)C)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)O[C@@H]4CC[C@@H]([C@H](O4)C)N(C)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00185767-01/250022963,,Activator,14.1254,32.9249,,10,Partial curve; partial efficacy; poor fit,-4.85,4.9549,0.8923,34,1.0751,2.4,0 0 0 0 0 0 0 0,29.4097,,,,,,-4.9374,,3.0769,,,5.5098,,,-0.7513,,5.1878,,,-0.7156,,1.8247,,,29.4097,,QC'd by Toronto Research
213,170464693,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00091455-09/250023317,,Activator,11.2202,41.4929,,10,Single point of activity,-4.95,4.4495,0.945,43.2089,1.7159,3,0 0 0 0 0 0 0 0,40.3217,,,,,,-3.9867,,0.2098,,,5.6653,,,6.3647,,0.1049,,,1.8185,,5.4905,,,40.3217,,QC'd by Microsource
214,170464755,4932,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00015819-15/250023583,,Activator,12.5893,83.7185,,10,Single point of activity,-4.9,4.9549,0.9827,84.1056,0.3871,3,0 0 0 0 0 0 0 0,76.2285,,,,,,-3.7353,,0.7253,,,-3.8441,,,1.0154,,1.922,,,7.4343,,4.2067,,,76.2285,,QC'd by SigmaAldrich
215,170464758,11065,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00015095-15/250023615,,Activator,14.1254,102.206,,10,Single point of activity,-4.85,4.9549,0.9885,100.874,-1.3323,3,0 0 0 0 0 0 0 0,88.4859,,,,,,-5.6936,,-2.8286,,,-1.4506,,,2.9737,,-3.4089,,,3.2276,,-1.5956,,,88.4859,,QC'd by Microsource
216,170464761,5281032,CN1CCN(CC1)CCCN2C3=C(SC4=CC=CC=C24)C=CC(=C3)Cl.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00015856-10/250023258,,Activator,8.9125,110.584,,10,Single point of activity,-5.05,4.5045,0.9928,109.777,-0.8066,3,0 0 0 0 0 0 0 1,-15.1778,,,,,,,,-0.954,,-2.7233,,,-5.6722,,1.0928,,,4.1457,,4.0416,,,94.3105,,-15.1778,QC'd by Prestwick Chemical; Inc.
217,170464766,5887,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00015829-12/250023489,,Activator,11.2202,85.0643,,10,Single point of activity,-4.95,4.9549,0.9729,87.1011,2.0368,3,0 0 0 0 0 0 0 0,82.3346,,,,,,1.1581,,12.9963,,,2.0404,,,0.6801,,-0.5331,,,-2.886,,8.4375,,,82.3346,,QC'd by Microsource
218,170464777,3696,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00015563-13/250023299,,Activator,11.2202,45.1104,,10,Single point of activity,-4.95,3.2975,0.9717,43.2301,-1.8804,3,0 0 0 0 0 0 0 0,37.2188,,,,,,-5.317,,-4.1272,,,-2.0822,,,-1.4873,,1.1526,,,1.7475,,5.0195,,,37.2188,,QC'd by Enzo
219,170464781,124087,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00159325-05/250023601,,Activator,10,81.9587,,10,Single point of activity,-5,4.5045,0.996,78.1043,-3.8545,3,0 0 0 0 0 0 0 0,74.5603,,,,,,-4.7144,,-3.0825,,,-4.388,,,-4.3155,,-0.1813,,,-6.1287,,7.3617,,,74.5603,,QC'd by Vitas
220,170464829,3025,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00016338-10/250022987,,Activator,12.5893,64.3077,,10,Single point of activity,-4.9,4.9549,0.986,61.2786,-3.0291,3,0 0 0 0 0 0 0 0,55.3096,,,,,,-3.6773,,-4.9156,,,-5.4409,,,-0.1126,,1.0507,,,-5.3659,,-1.651,,,55.3096,,QC'd by Microsource
221,170465003,5362123,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CCC3=CC=CC=C3N(C2=O)CC(=O)O.Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00165740-05/250023206,,Activator,11.2202,108.533,,10,Single point of activity,-4.95,4.9549,0.9982,109.012,0.4784,3,0 0 0 0 0 0 0 0,103.231,,,,,,1.1638,,-0.7469,,,3.1787,,,1.8586,,-1.268,,,-0.8164,,7.9382,,,103.231,,QC'd by Microsource
222,170465077,6603149,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13.Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00015851-10/250023595,,Activator,10,30.5322,,10,Partial curve; partial efficacy; poor fit,-5,4.9549,0.9228,26,-4.5322,2.4,0 0 0 0 0 0 0 0,24.8413,,,,,,-7.6881,,-0.8704,,,-3.8803,,,-1.233,,-3.5539,,,-9.6102,,-0.7616,,,24.8413,,QC'd by Microsource
223,170465173,4474,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00015747-09/250023275,,Activator,12.5893,54.6171,,10,Single point of activity,-4.9,4.9549,0.9701,52.0321,-2.5851,3,0 0 0 0 0 0 0 0,47.2579,,,,,,-2.1937,,-3.9041,,,-3.0489,,,4.2759,,-3.3092,,,-6.3209,,-1.8963,,,47.2579,,QC'd by Enzo
224,170465260,5282318,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C.C(=C\C(=O)O)\C(=O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00016013-06/250023112,,Activator,10,43.9772,,10,Single point of activity,-5,4.9549,0.9654,42.6045,-1.3727,3,0 0 0 0 0 0 0 0,41.2272,,,,,,-3.997,,3.7343,,,-0.6943,,,1.0321,,-2.0829,,,-5.3106,,3.6968,,,41.2272,,QC'd by Microsource
225,170465272,4078,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00163157-05/250023185,,Activator,10,36.2712,,10,Partial curve; partial efficacy; poor fit,-5,1.21,0.9389,38,1.7288,2.4,0 0 0 0 0 0 0 0,29.2687,,,,,,-0.6427,,1.4417,,,3.4219,,,-0.5037,,6.6875,,,8.0076,,12.6281,,,29.2687,,QC'd by Prestwick Chemical; Inc.
226,170465278,6604495,C[C@H](CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C.C[C@H](CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C.[C@@H]([C@@H](C(=O)O)O)(C(=O)O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00178737-05/250023684,,Activator,10,49.1034,,10,Single point of activity,-5,3.9295,0.9808,50.2677,1.1643,3,0 0 0 0 0 0 0 0,47.1539,,,,,,1.9831,,-1.9464,,,3.2317,,,-1.0283,,4.7007,,,-0.5876,,9.989,,,47.1539,,QC'd by Microsource
227,170465292,2444,CN(C)CCOC(C1=CC=CC=C1)C2=CC=C(C=C2)Br,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00249891-01/250023649,,Activator,10,30.8847,,10,Partial curve; partial efficacy; poor fit,-5,3.5722,0.9508,31,0.1153,2.4,0 0 0 0 0 0 0 0,28.8017,,,,,,1.7195,,2.7584,,,2.5434,,,-0.8598,,-3.6539,,,-2.221,,6.1616,,,28.8017,,QC'd by GVK
228,170465395,62978,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC.CS(=O)(=O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00018158-09/250023503,,Activator,14.1254,95.4689,,10,Single point of activity,-4.85,4.9549,0.9896,97.9689,2.5,3,0 0 0 0 0 0 0 0,86.3923,,,,,,1.137,,4.1689,,,0.0902,,,7.9228,,2.1476,,,1.2092,,0.9204,,,86.3923,,QC'd by Microsource
229,170465424,65327,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00015340-14/250023429,,Activator,11.2202,32.8627,,10,Partial curve; partial efficacy; poor fit,-4.95,4.5045,0.8668,29,-3.8627,2.4,0 0 0 0 0 0 0 0,26.5657,,,,,,4.0643,,-1.2562,,,-5.2836,,,-9.0523,,-2.845,,,-8.572,,-0.8868,,,26.5657,,QC'd by Microsource
230,170465900,2377,CNCCCCOC1=CC=CC=C1CC2=CC=CC=C2,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00024778-02/250023607,,Activator,10,77.481,,10,Single point of activity,-5,3.6272,0.9864,72.2099,-5.2711,3,0 0 0 0 0 0 0 0,66.3645,,,,,,-3.9529,,-0.9791,,,-3.4089,,,-9.2112,,-3.9891,,,-9.3926,,8.9937,,,66.3645,,QC'd by Tocris
231,170466036,441412,CCCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OC3CCN(CC3)C.Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00181103-02/250023322,,Activator,14.1254,30.585,,10,Partial curve; partial efficacy; poor fit,-4.85,4.9549,0.9123,29.5,-1.085,2.4,0 0 0 0 0 0 0 0,24.7246,,,,,,1.6436,,-2.8327,,,-1.154,,,4.1616,,-2.0983,,,-5.0708,,-0.7694,,,24.7246,,QC'd by Sequoia
232,174006434,73265221,C[C@H]1CC=CC(=O)[C@H]([C@H](CC2C(O2)C3=C(C(=CC(=C3)OC)O)C(=O)O1)O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00183677-03/250023046,,Activator,12.5893,84.5058,,10,Single point of activity,-4.9,4.9549,0.9864,82.0995,-2.4063,3,0 0 0 0 0 0 0 0,74.555,,,,,,-3.36,,-4.9219,,,5.0309,,,-2.7788,,-4.5223,,,-3.3963,,-0.5993,,,74.555,,QC'd by ChemieTek
233,174006666,5160,CN(C)CC(COC1=CC=CC=C1CCC2=CC(=CC=C2)OC)OC(=O)CCC(=O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00167489-03/250023144,,Activator,11.2202,36.8125,,10,Single point of activity,-4.95,3.132,0.8912,38.8247,2.0122,3,0 0 0 0 0 0 0 0,33.6516,,,,,,3.4759,,8.2506,,,0.6875,,,5.8442,,-3.3231,,,-1.9862,,8.0596,,,33.6516,,QC'd by Tocris
234,225144262,2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00165957-07/250023631,,Activator,11.2202,96.3956,,10,Single point of activity,-4.95,4.5045,0.979,96.8774,0.4817,3,0 0 0 0 0 0 0 0,90.2024,,,,,,-5.0152,,-3.439,,,-1.5046,,,0.7523,,1.4329,,,10.4245,,9.5289,,,90.2024,,QC'd by Prestwick
235,29215546,6711154,C1=CC(=CC=C1NC2=C(C=C3C(=C2)C(=O)NC3=O)NC4=CC=C(C=C4)F)F,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00159569-02/250023176,,Activator,3.5481,30.2212,,10,Partial curve; partial efficacy; poor fit,-5.45,1.9887,0.9568,30,-0.2212,2.4,0 0 0 0 0 0 0 1,-0.0382,,,,,,-3.9343,,-0.2674,,,2.5974,,,0.0382,,0.6494,,,8.4034,,23.4148,,,-0.0382,,QC'd by SigmaAldrich
236,363676552,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00091455-13/250023576,,Activator,11.2202,61.6462,,10,Single point of activity,-4.95,4.5045,0.9706,63.6199,1.9737,3,0 0 0 0 0 0 0 0,59.5777,,,,,,7.0382,,-5.0219,,,4.1849,,,-0.2283,,3.0436,,,2.8533,,6.8861,,,59.5777,,QC'd by Selleck
