"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL4259842";"F";"Antibacterial activity against Bacillus cereus ATCC 10876 by micro dilution susceptibility test";"Bacillus cereus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 10876";"Scientific Literature";"1396";"";"";"";"";"CHEMBL4257543";"30429974";"10.1039/C8MD00257F";"2018";"Medchemcomm";"9";"1698";"1707";"";"";"";"";"";""
"CHEMBL4377001";"F";"Antibacterial activity against Bacillus cereus ATCC 11778 incubated for 24 hrs";"Bacillus cereus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 11778";"Scientific Literature";"1396";"";"";"";"";"CHEMBL4376803";"30938996";"10.1021/acs.jmedchem.9b00156";"2019";"J Med Chem";"62";"7603";"7617";"";"";"";"";"";""
"CHEMBL4369611";"F";"Bactericidal activity against Bacillus cereus ATCC 8035 measured after 4 hrs";"Bacillus cereus";"24";"24";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 8035";"Scientific Literature";"1396";"";"";"";"";"CHEMBL4368886";"30746069";"10.1039/C8MD00481A";"2018";"Medchemcomm";"9";"2106";"2120";"";"";"";"";"";""
"CHEMBL4123421";"F";"Synergistic antibacterial activity against Bacillus cereus NCIM 2156 assessed as fractional inhibitory concentration at 0.37 to 50 ug/ml after 24 hrs in presence of 3.1 ug/ml chloramphenicol by broth micro dilution method";"Bacillus cereus";"12";"12";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"NCIM 2156";"Scientific Literature";"1396";"";"";"";"";"CHEMBL4118194";"29778528";"10.1016/j.bmc.2018.05.015";"2018";"Bioorg Med Chem";"26";"3414";"3428";"";"";"";"";"";""
"CHEMBL4125617";"F";"Bactericidal activity against Bacillus cereus ATCC 14579 measured after 72 hrs in presence of lysozyme";"Bacillus cereus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 14579";"Scientific Literature";"1396";"";"";"";"";"CHEMBL4118287";"29983281";"10.1016/j.bmc.2018.06.045";"2018";"Bioorg Med Chem";"26";"3845";"3851";"";"";"";"";"";""
"CHEMBL3055224";"F";"Antibacterial activity against Bacillus cereus ATCC 6633 at 1 ug/disk after 24 hr by disk diffusion method";"Bacillus cereus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 6633";"Scientific Literature";"1396";"";"";"";"";"CHEMBL3044928";"None";"10.1007/s00044-007-9024-9";"2007";"Med Chem Res";"16";"205";"212";"";"";"";"";"";""
"CHEMBL1282618";"F";"Antibacterial activity against Bacillus cereus ATCC 14579 at < 100 ug/mL by agar dilution method";"Bacillus cereus";"23";"23";"BAO_0000019";"assay format";"1";"1 - Target assigned is non-molecular";"ATCC 14579";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1275265";"20708825";"10.1016/j.ejmech.2010.07.040";"2010";"Eur J Med Chem";"45";"4761";"4768";"";"";"";"";"";""
"CHEMBL1037016";"F";"Antimicrobial activity against Bacillus cereus at 1 umol/disk after 24 hrs by disk diffusion assay";"Bacillus cereus";"22";"22";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1154716";"19926364";"10.1016/j.ejmech.2009.10.037";"2010";"Eur J Med Chem";"45";"510";"518";"";"";"";"";"";""
"CHEMBL3074471";"F";"Antibacterial activity against Bacillus cereus after 16 to 18 hr by serial dilution method";"Bacillus cereus";"11";"11";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL3045095";"None";"10.1007/s00044-012-0294-5";"2013";"Med Chem Res";"22";"2921";"2928";"";"";"";"";"";""
"CHEMBL1924463";"F";"Antibacterial activity against Bacillus cereus MTCC 430 assessed as zone of growth inhibition after 18 to 24 hrs by Kirby-Bauer agar diffusion method";"Bacillus cereus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MTCC 430";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1921785";"22047695";"10.1016/j.bmcl.2011.10.034";"2011";"Bioorg Med Chem Lett";"21";"7306";"7309";"";"";"";"";"";""
